year,month,date,state_name,cases_new,cases_retreated,rifampicin_resistant_new,rifampicin_resistant_retreated,data_type,note
2021,7,2021-07-01,Andhra Pradesh,715455,113351,64769,9017,synthetic_demo,Synthetic data for framework demonstration only
2021,8,2021-08-01,Andhra Pradesh,779508,120211,63676,9004,synthetic_demo,Synthetic data for framework demonstration only
2021,9,2021-09-01,Andhra Pradesh,900208,111227,74702,10536,synthetic_demo,Synthetic data for framework demonstration only
2021,10,2021-10-01,Andhra Pradesh,888404,104464,85519,8071,synthetic_demo,Synthetic data for framework demonstration only
2021,11,2021-11-01,Andhra Pradesh,926305,131264,84060,11937,synthetic_demo,Synthetic data for framework demonstration only
2021,12,2021-12-01,Andhra Pradesh,878483,141709,83827,11934,synthetic_demo,Synthetic data for framework demonstration only
2022,1,2022-01-01,Andhra Pradesh,788266,105604,75853,8614,synthetic_demo,Synthetic data for framework demonstration only
2022,2,2022-02-01,Andhra Pradesh,794515,111095,71813,10911,synthetic_demo,Synthetic data for framework demonstration only
2022,3,2022-03-01,Andhra Pradesh,669796,96222,61162,8371,synthetic_demo,Synthetic data for framework demonstration only
2022,4,2022-04-01,Andhra Pradesh,673979,77700,49147,6838,synthetic_demo,Synthetic data for framework demonstration only
2022,5,2022-05-01,Andhra Pradesh,548870,57971,51410,4784,synthetic_demo,Synthetic data for framework demonstration only
2022,6,2022-06-01,Andhra Pradesh,616979,70339,54813,6363,synthetic_demo,Synthetic data for framework demonstration only
2022,7,2022-07-01,Andhra Pradesh,753236,82103,56407,6846,synthetic_demo,Synthetic data for framework demonstration only
2022,8,2022-08-01,Andhra Pradesh,708428,94403,71104,9019,synthetic_demo,Synthetic data for framework demonstration only
2022,9,2022-09-01,Andhra Pradesh,816384,104098,78022,10063,synthetic_demo,Synthetic data for framework demonstration only
2022,10,2022-10-01,Andhra Pradesh,951480,120916,82517,10661,synthetic_demo,Synthetic data for framework demonstration only
2022,11,2022-11-01,Andhra Pradesh,977649,117127,80347,9304,synthetic_demo,Synthetic data for framework demonstration only
2022,12,2022-12-01,Andhra Pradesh,897189,118204,90424,9807,synthetic_demo,Synthetic data for framework demonstration only
2023,1,2023-01-01,Andhra Pradesh,941659,99598,78617,8669,synthetic_demo,Synthetic data for framework demonstration only
2023,2,2023-02-01,Andhra Pradesh,851792,81225,70883,7162,synthetic_demo,Synthetic data for framework demonstration only
2023,3,2023-03-01,Andhra Pradesh,656233,92662,60219,7753,synthetic_demo,Synthetic data for framework demonstration only
2023,4,2023-04-01,Andhra Pradesh,569349,68326,58574,6005,synthetic_demo,Synthetic data for framework demonstration only
2023,5,2023-05-01,Andhra Pradesh,549683,74045,52876,6298,synthetic_demo,Synthetic data for framework demonstration only
2023,6,2023-06-01,Andhra Pradesh,556459,72894,56562,6207,synthetic_demo,Synthetic data for framework demonstration only
2023,7,2023-07-01,Andhra Pradesh,686993,64926,67265,6357,synthetic_demo,Synthetic data for framework demonstration only
2023,8,2023-08-01,Andhra Pradesh,739077,87774,66580,7758,synthetic_demo,Synthetic data for framework demonstration only
2023,9,2023-09-01,Andhra Pradesh,911351,89491,79372,8042,synthetic_demo,Synthetic data for framework demonstration only
2023,10,2023-10-01,Andhra Pradesh,1010749,142732,87441,11718,synthetic_demo,Synthetic data for framework demonstration only
2023,11,2023-11-01,Andhra Pradesh,969914,107004,92386,8270,synthetic_demo,Synthetic data for framework demonstration only
2023,12,2023-12-01,Andhra Pradesh,962456,101357,83033,10530,synthetic_demo,Synthetic data for framework demonstration only
2017,1,2017-01-01,Assam,567550,67574,71474,8281,synthetic_demo,Synthetic data for framework demonstration only
2017,2,2017-02-01,Assam,616236,66700,67251,9168,synthetic_demo,Synthetic data for framework demonstration only
2017,3,2017-03-01,Assam,493403,56777,58266,6382,synthetic_demo,Synthetic data for framework demonstration only
2017,4,2017-04-01,Assam,476622,65933,55009,7685,synthetic_demo,Synthetic data for framework demonstration only
2017,5,2017-05-01,Assam,416720,55306,50089,5924,synthetic_demo,Synthetic data for framework demonstration only
2017,6,2017-06-01,Assam,404309,49393,56299,5431,synthetic_demo,Synthetic data for framework demonstration only
2017,7,2017-07-01,Assam,510100,50575,62251,6258,synthetic_demo,Synthetic data for framework demonstration only
2017,8,2017-08-01,Assam,536909,77221,69172,9229,synthetic_demo,Synthetic data for framework demonstration only
2017,9,2017-09-01,Assam,644213,72694,77947,9801,synthetic_demo,Synthetic data for framework demonstration only
2017,10,2017-10-01,Assam,739350,85153,82060,9623,synthetic_demo,Synthetic data for framework demonstration only
2017,11,2017-11-01,Assam,658737,80341,86887,9840,synthetic_demo,Synthetic data for framework demonstration only
2017,12,2017-12-01,Assam,741214,81212,86000,10274,synthetic_demo,Synthetic data for framework demonstration only
2018,1,2018-01-01,Assam,598246,87431,67684,10675,synthetic_demo,Synthetic data for framework demonstration only
2018,2,2018-02-01,Assam,618818,69017,63166,8061,synthetic_demo,Synthetic data for framework demonstration only
2018,3,2018-03-01,Assam,480815,55048,56952,6370,synthetic_demo,Synthetic data for framework demonstration only
2018,4,2018-04-01,Assam,415270,55277,54007,7209,synthetic_demo,Synthetic data for framework demonstration only
2018,5,2018-05-01,Assam,456792,52574,43829,5498,synthetic_demo,Synthetic data for framework demonstration only
2018,6,2018-06-01,Assam,477176,58406,46836,6084,synthetic_demo,Synthetic data for framework demonstration only
2018,7,2018-07-01,Assam,484996,69777,54301,8095,synthetic_demo,Synthetic data for framework demonstration only
2018,8,2018-08-01,Assam,589912,82161,66517,10340,synthetic_demo,Synthetic data for framework demonstration only
2018,9,2018-09-01,Assam,647282,73045,76072,9240,synthetic_demo,Synthetic data for framework demonstration only
2018,10,2018-10-01,Assam,639276,90329,78002,11031,synthetic_demo,Synthetic data for framework demonstration only
2018,11,2018-11-01,Assam,724367,73494,91385,9901,synthetic_demo,Synthetic data for framework demonstration only
2018,12,2018-12-01,Assam,647014,98298,85448,12748,synthetic_demo,Synthetic data for framework demonstration only
2019,1,2019-01-01,Assam,574473,72001,71018,9085,synthetic_demo,Synthetic data for framework demonstration only
2019,2,2019-02-01,Assam,562062,73597,67294,8364,synthetic_demo,Synthetic data for framework demonstration only
2019,3,2019-03-01,Assam,473528,60902,62655,7349,synthetic_demo,Synthetic data for framework demonstration only
2019,4,2019-04-01,Assam,470174,47698,47652,4928,synthetic_demo,Synthetic data for framework demonstration only
2019,5,2019-05-01,Assam,418731,64333,46476,7309,synthetic_demo,Synthetic data for framework demonstration only
2019,6,2019-06-01,Assam,447359,69901,48927,8076,synthetic_demo,Synthetic data for framework demonstration only
2019,7,2019-07-01,Assam,481342,52342,58256,6244,synthetic_demo,Synthetic data for framework demonstration only
2019,8,2019-08-01,Assam,571142,80767,60349,9144,synthetic_demo,Synthetic data for framework demonstration only
2019,9,2019-09-01,Assam,600713,66096,69640,6999,synthetic_demo,Synthetic data for framework demonstration only
2019,10,2019-10-01,Assam,702316,98921,82020,10914,synthetic_demo,Synthetic data for framework demonstration only
2019,11,2019-11-01,Assam,646584,107618,82031,13115,synthetic_demo,Synthetic data for framework demonstration only
2019,12,2019-12-01,Assam,642298,83425,84527,8212,synthetic_demo,Synthetic data for framework demonstration only
2020,1,2020-01-01,Assam,606597,84197,71948,9921,synthetic_demo,Synthetic data for framework demonstration only
2020,2,2020-02-01,Assam,551100,56559,62513,7003,synthetic_demo,Synthetic data for framework demonstration only
2020,3,2020-03-01,Assam,509168,62717,59674,8462,synthetic_demo,Synthetic data for framework demonstration only
2020,4,2020-04-01,Assam,433916,53046,47190,6460,synthetic_demo,Synthetic data for framework demonstration only
2020,5,2020-05-01,Assam,411007,44459,51897,5172,synthetic_demo,Synthetic data for framework demonstration only
2020,6,2020-06-01,Assam,479673,59952,52361,6170,synthetic_demo,Synthetic data for framework demonstration only
2020,7,2020-07-01,Assam,490544,79710,53362,8819,synthetic_demo,Synthetic data for framework demonstration only
2020,8,2020-08-01,Assam,524539,81170,60013,9537,synthetic_demo,Synthetic data for framework demonstration only
2020,9,2020-09-01,Assam,703829,77428,82930,7919,synthetic_demo,Synthetic data for framework demonstration only
2020,10,2020-10-01,Assam,663779,84271,73859,11100,synthetic_demo,Synthetic data for framework demonstration only
2020,11,2020-11-01,Assam,714539,110263,91513,12404,synthetic_demo,Synthetic data for framework demonstration only
2020,12,2020-12-01,Assam,632714,77859,73051,8972,synthetic_demo,Synthetic data for framework demonstration only
2021,1,2021-01-01,Assam,665590,81773,67039,8617,synthetic_demo,Synthetic data for framework demonstration only
2021,2,2021-02-01,Assam,524020,64105,63357,7944,synthetic_demo,Synthetic data for framework demonstration only
2021,3,2021-03-01,Assam,494115,67739,57714,8292,synthetic_demo,Synthetic data for framework demonstration only
2021,4,2021-04-01,Assam,456152,48294,51238,5833,synthetic_demo,Synthetic data for framework demonstration only
2021,5,2021-05-01,Assam,387720,46352,51956,5084,synthetic_demo,Synthetic data for framework demonstration only
2021,6,2021-06-01,Assam,467760,62939,50307,7534,synthetic_demo,Synthetic data for framework demonstration only
2021,7,2021-07-01,Assam,548310,51559,53405,6760,synthetic_demo,Synthetic data for framework demonstration only
2021,8,2021-08-01,Assam,537791,82673,61025,9131,synthetic_demo,Synthetic data for framework demonstration only
2021,9,2021-09-01,Assam,610052,86209,75565,10395,synthetic_demo,Synthetic data for framework demonstration only
2021,10,2021-10-01,Assam,690486,79103,78078,9370,synthetic_demo,Synthetic data for framework demonstration only
2021,11,2021-11-01,Assam,649040,78414,81442,10420,synthetic_demo,Synthetic data for framework demonstration only
2021,12,2021-12-01,Assam,692676,89315,81094,9638,synthetic_demo,Synthetic data for framework demonstration only
2022,1,2022-01-01,Assam,671861,87574,77379,9937,synthetic_demo,Synthetic data for framework demonstration only
2022,2,2022-02-01,Assam,530344,68809,68578,7710,synthetic_demo,Synthetic data for framework demonstration only
2022,3,2022-03-01,Assam,522837,58878,53319,6251,synthetic_demo,Synthetic data for framework demonstration only
2022,4,2022-04-01,Assam,449745,64174,47496,7334,synthetic_demo,Synthetic data for framework demonstration only
2022,5,2022-05-01,Assam,425187,65855,43838,7245,synthetic_demo,Synthetic data for framework demonstration only
2022,6,2022-06-01,Assam,422807,45558,51233,6086,synthetic_demo,Synthetic data for framework demonstration only
2022,7,2022-07-01,Assam,536570,67786,60328,7755,synthetic_demo,Synthetic data for framework demonstration only
2022,8,2022-08-01,Assam,537479,89982,59698,9785,synthetic_demo,Synthetic data for framework demonstration only
2022,9,2022-09-01,Assam,635056,71302,75649,7254,synthetic_demo,Synthetic data for framework demonstration only
2022,10,2022-10-01,Assam,697479,77921,77141,8215,synthetic_demo,Synthetic data for framework demonstration only
2022,11,2022-11-01,Assam,745278,88289,85931,12464,synthetic_demo,Synthetic data for framework demonstration only
2022,12,2022-12-01,Assam,636162,96223,84765,10794,synthetic_demo,Synthetic data for framework demonstration only
2023,1,2023-01-01,Assam,604699,69691,74088,8032,synthetic_demo,Synthetic data for framework demonstration only
2023,2,2023-02-01,Assam,578276,73235,61104,8842,synthetic_demo,Synthetic data for framework demonstration only
2023,3,2023-03-01,Assam,460148,57800,56457,6469,synthetic_demo,Synthetic data for framework demonstration only
2023,4,2023-04-01,Assam,469767,48281,54363,6489,synthetic_demo,Synthetic data for framework demonstration only
2023,5,2023-05-01,Assam,407354,56745,50217,5629,synthetic_demo,Synthetic data for framework demonstration only
2023,6,2023-06-01,Assam,480973,46533,54496,5072,synthetic_demo,Synthetic data for framework demonstration only
2023,7,2023-07-01,Assam,470869,74644,62733,7425,synthetic_demo,Synthetic data for framework demonstration only
2023,8,2023-08-01,Assam,533935,74481,71722,8990,synthetic_demo,Synthetic data for framework demonstration only
2023,9,2023-09-01,Assam,594568,71565,81789,9035,synthetic_demo,Synthetic data for framework demonstration only
2023,10,2023-10-01,Assam,620516,79615,80429,8948,synthetic_demo,Synthetic data for framework demonstration only
2023,11,2023-11-01,Assam,775361,97300,85803,10823,synthetic_demo,Synthetic data for framework demonstration only
2023,12,2023-12-01,Assam,717782,92733,78596,10569,synthetic_demo,Synthetic data for framework demonstration only
2017,1,2017-01-01,Bihar,2315768,389792,341290,49089,synthetic_demo,Synthetic data for framework demonstration only
2017,2,2017-02-01,Bihar,2186636,294784,295451,36989,synthetic_demo,Synthetic data for framework demonstration only
2017,3,2017-03-01,Bihar,2038132,228304,300545,33948,synthetic_demo,Synthetic data for framework demonstration only
2017,4,2017-04-01,Bihar,1867669,189678,219815,24761,synthetic_demo,Synthetic data for framework demonstration only
2017,5,2017-05-01,Bihar,1834093,165765,244385,22066,synthetic_demo,Synthetic data for framework demonstration only
2017,6,2017-06-01,Bihar,1695214,205352,229085,26414,synthetic_demo,Synthetic data for framework demonstration only
2017,7,2017-07-01,Bihar,2135547,305138,251555,35163,synthetic_demo,Synthetic data for framework demonstration only
2017,8,2017-08-01,Bihar,2063596,274635,282893,37526,synthetic_demo,Synthetic data for framework demonstration only
2017,9,2017-09-01,Bihar,2493429,327545,358740,44833,synthetic_demo,Synthetic data for framework demonstration only
2017,10,2017-10-01,Bihar,2814884,379429,382723,55378,synthetic_demo,Synthetic data for framework demonstration only
2017,11,2017-11-01,Bihar,2989478,414483,354446,55437,synthetic_demo,Synthetic data for framework demonstration only
2017,12,2017-12-01,Bihar,2831477,412843,393080,51051,synthetic_demo,Synthetic data for framework demonstration only
2018,1,2018-01-01,Bihar,2608390,352966,356294,51587,synthetic_demo,Synthetic data for framework demonstration only
2018,2,2018-02-01,Bihar,2417387,286927,277548,42566,synthetic_demo,Synthetic data for framework demonstration only
2018,3,2018-03-01,Bihar,1920831,268408,284232,35113,synthetic_demo,Synthetic data for framework demonstration only
2018,4,2018-04-01,Bihar,1875314,211372,257186,28603,synthetic_demo,Synthetic data for framework demonstration only
2018,5,2018-05-01,Bihar,1729629,249080,237464,29609,synthetic_demo,Synthetic data for framework demonstration only
2018,6,2018-06-01,Bihar,1908862,228848,226159,33102,synthetic_demo,Synthetic data for framework demonstration only
2018,7,2018-07-01,Bihar,2015127,219784,279237,35639,synthetic_demo,Synthetic data for framework demonstration only
2018,8,2018-08-01,Bihar,2350387,229647,299593,34187,synthetic_demo,Synthetic data for framework demonstration only
2018,9,2018-09-01,Bihar,2541653,343333,386664,47565,synthetic_demo,Synthetic data for framework demonstration only
2018,10,2018-10-01,Bihar,2643052,326606,384755,44108,synthetic_demo,Synthetic data for framework demonstration only
2018,11,2018-11-01,Bihar,3155141,285554,408785,39471,synthetic_demo,Synthetic data for framework demonstration only
2018,12,2018-12-01,Bihar,2750557,295630,395781,41240,synthetic_demo,Synthetic data for framework demonstration only
2019,1,2019-01-01,Bihar,2625167,343760,369680,47661,synthetic_demo,Synthetic data for framework demonstration only
2019,2,2019-02-01,Bihar,2258764,334211,287314,47571,synthetic_demo,Synthetic data for framework demonstration only
2019,3,2019-03-01,Bihar,2063651,218134,296445,33413,synthetic_demo,Synthetic data for framework demonstration only
2019,4,2019-04-01,Bihar,1797878,211540,263631,30003,synthetic_demo,Synthetic data for framework demonstration only
2019,5,2019-05-01,Bihar,1808471,190798,211691,23919,synthetic_demo,Synthetic data for framework demonstration only
2019,6,2019-06-01,Bihar,1936917,209410,227095,29090,synthetic_demo,Synthetic data for framework demonstration only
2019,7,2019-07-01,Bihar,1960648,273894,293430,35431,synthetic_demo,Synthetic data for framework demonstration only
2019,8,2019-08-01,Bihar,2261724,276449,312519,37168,synthetic_demo,Synthetic data for framework demonstration only
2019,9,2019-09-01,Bihar,2422009,390412,333358,55320,synthetic_demo,Synthetic data for framework demonstration only
2019,10,2019-10-01,Bihar,2580805,305326,343278,39606,synthetic_demo,Synthetic data for framework demonstration only
2019,11,2019-11-01,Bihar,2831490,333237,366457,45724,synthetic_demo,Synthetic data for framework demonstration only
2019,12,2019-12-01,Bihar,2786892,297308,337693,38515,synthetic_demo,Synthetic data for framework demonstration only
2020,1,2020-01-01,Bihar,2609744,348215,358488,42921,synthetic_demo,Synthetic data for framework demonstration only
2020,2,2020-02-01,Bihar,2311573,331879,308074,45347,synthetic_demo,Synthetic data for framework demonstration only
2020,3,2020-03-01,Bihar,2119275,216309,254732,26248,synthetic_demo,Synthetic data for framework demonstration only
2020,4,2020-04-01,Bihar,1774568,271647,250137,34449,synthetic_demo,Synthetic data for framework demonstration only
2020,5,2020-05-01,Bihar,1750605,216894,206638,29007,synthetic_demo,Synthetic data for framework demonstration only
2020,6,2020-06-01,Bihar,1893997,285551,219624,37963,synthetic_demo,Synthetic data for framework demonstration only
2020,7,2020-07-01,Bihar,1979249,204875,279394,32504,synthetic_demo,Synthetic data for framework demonstration only
2020,8,2020-08-01,Bihar,2155933,283748,318747,35049,synthetic_demo,Synthetic data for framework demonstration only
2020,9,2020-09-01,Bihar,2440547,382599,367939,48328,synthetic_demo,Synthetic data for framework demonstration only
2020,10,2020-10-01,Bihar,2808964,325706,388387,42780,synthetic_demo,Synthetic data for framework demonstration only
2020,11,2020-11-01,Bihar,2681050,319776,368834,39248,synthetic_demo,Synthetic data for framework demonstration only
2020,12,2020-12-01,Bihar,3001723,354946,373768,47080,synthetic_demo,Synthetic data for framework demonstration only
2021,1,2021-01-01,Bihar,2460627,301556,369205,36772,synthetic_demo,Synthetic data for framework demonstration only
2021,2,2021-02-01,Bihar,2389590,254890,326014,33294,synthetic_demo,Synthetic data for framework demonstration only
2021,3,2021-03-01,Bihar,2053824,217184,288564,30312,synthetic_demo,Synthetic data for framework demonstration only
2021,4,2021-04-01,Bihar,1841828,231947,254260,34472,synthetic_demo,Synthetic data for framework demonstration only
2021,5,2021-05-01,Bihar,1786100,178019,230752,22431,synthetic_demo,Synthetic data for framework demonstration only
2021,6,2021-06-01,Bihar,1874305,207579,226813,31166,synthetic_demo,Synthetic data for framework demonstration only
2021,7,2021-07-01,Bihar,2197782,256844,301365,32168,synthetic_demo,Synthetic data for framework demonstration only
2021,8,2021-08-01,Bihar,2455572,349699,284560,45190,synthetic_demo,Synthetic data for framework demonstration only
2021,9,2021-09-01,Bihar,2672458,272404,342723,40957,synthetic_demo,Synthetic data for framework demonstration only
2021,10,2021-10-01,Bihar,2922787,320581,356971,41881,synthetic_demo,Synthetic data for framework demonstration only
2021,11,2021-11-01,Bihar,2751251,448054,396956,52564,synthetic_demo,Synthetic data for framework demonstration only
2021,12,2021-12-01,Bihar,2709384,366278,381447,47603,synthetic_demo,Synthetic data for framework demonstration only
2022,1,2022-01-01,Bihar,2302385,381904,351620,49758,synthetic_demo,Synthetic data for framework demonstration only
2022,2,2022-02-01,Bihar,2355356,308234,284850,39975,synthetic_demo,Synthetic data for framework demonstration only
2022,3,2022-03-01,Bihar,2074933,305988,294679,41146,synthetic_demo,Synthetic data for framework demonstration only
2022,4,2022-04-01,Bihar,1844154,224858,251641,34820,synthetic_demo,Synthetic data for framework demonstration only
2022,5,2022-05-01,Bihar,1796884,242101,225063,29479,synthetic_demo,Synthetic data for framework demonstration only
2022,6,2022-06-01,Bihar,1942737,205998,253204,26546,synthetic_demo,Synthetic data for framework demonstration only
2022,7,2022-07-01,Bihar,2125808,225268,249365,32931,synthetic_demo,Synthetic data for framework demonstration only
2022,8,2022-08-01,Bihar,2432702,258078,307661,33143,synthetic_demo,Synthetic data for framework demonstration only
2022,9,2022-09-01,Bihar,2705460,287043,368179,39117,synthetic_demo,Synthetic data for framework demonstration only
2022,10,2022-10-01,Bihar,2866302,365751,362382,52635,synthetic_demo,Synthetic data for framework demonstration only
2022,11,2022-11-01,Bihar,2641702,372681,375644,48477,synthetic_demo,Synthetic data for framework demonstration only
2022,12,2022-12-01,Bihar,2815053,357988,360035,46233,synthetic_demo,Synthetic data for framework demonstration only
2023,1,2023-01-01,Bihar,2366536,284387,372530,35696,synthetic_demo,Synthetic data for framework demonstration only
2023,2,2023-02-01,Bihar,2231288,213412,285475,28296,synthetic_demo,Synthetic data for framework demonstration only
2023,3,2023-03-01,Bihar,1936612,231329,289326,35048,synthetic_demo,Synthetic data for framework demonstration only
2023,4,2023-04-01,Bihar,1793099,243461,225636,30801,synthetic_demo,Synthetic data for framework demonstration only
2023,5,2023-05-01,Bihar,1530898,197843,224288,26094,synthetic_demo,Synthetic data for framework demonstration only
2023,6,2023-06-01,Bihar,1768250,240784,239313,34112,synthetic_demo,Synthetic data for framework demonstration only
2023,7,2023-07-01,Bihar,2148577,217263,263411,29961,synthetic_demo,Synthetic data for framework demonstration only
2023,8,2023-08-01,Bihar,2172383,268947,322711,30861,synthetic_demo,Synthetic data for framework demonstration only
2023,9,2023-09-01,Bihar,2875322,360511,376768,46613,synthetic_demo,Synthetic data for framework demonstration only
2023,10,2023-10-01,Bihar,2798666,293330,384402,43280,synthetic_demo,Synthetic data for framework demonstration only
2023,11,2023-11-01,Bihar,3027329,458631,355258,56592,synthetic_demo,Synthetic data for framework demonstration only
2023,12,2023-12-01,Bihar,2654172,286084,360388,37267,synthetic_demo,Synthetic data for framework demonstration only
2017,1,2017-01-01,Delhi,221669,35432,12697,2105,synthetic_demo,Synthetic data for framework demonstration only
2017,2,2017-02-01,Delhi,199049,26780,10940,1466,synthetic_demo,Synthetic data for framework demonstration only
2017,3,2017-03-01,Delhi,181848,24673,9672,1350,synthetic_demo,Synthetic data for framework demonstration only
2017,4,2017-04-01,Delhi,168159,19849,8787,1220,synthetic_demo,Synthetic data for framework demonstration only
2017,5,2017-05-01,Delhi,146163,22316,7800,1380,synthetic_demo,Synthetic data for framework demonstration only
2017,6,2017-06-01,Delhi,168072,15808,8364,847,synthetic_demo,Synthetic data for framework demonstration only
2017,7,2017-07-01,Delhi,190149,21068,9905,1230,synthetic_demo,Synthetic data for framework demonstration only
