pmid,title,journal,year,authors,abstract
38153918,"Addressing patients' unmet needs related to multidrug-resistant tuberculosis (MDR-TB) care: A qualitative research study from Pune city, India.",PloS one,2023,Atre S; Jagtap J; Faqih M; Dumbare Y; Sawant T; Ambike S; Farhat M,"We aimed to identify and describe the unmet needs of patients with multidrug-resistant tuberculosis (MDR-TB). As a part of larger cross-sectional mixed-methods (qualitative and quantitative data) study on pathways to MDR-TB care, here we present the qualitative component. We interviewed 128 (56 men and 72 women) individuals who had MDR-TB, aged > = 15 years, registered and treated under the National TB Elimination Program (NTEP) in Pune city of India. We carried out thematic analysis of participants' narratives. We found that delays in diagnosis, lack of counseling, late referral to the NTEP and unwarranted expenditure were the main barriers to care that study participants experienced in the private sector. Provider dismissal of symptoms, non-courteous behavior, lack of hygiene in the referral centers, forced stay with other patients and lack of support for psychological/psychiatric problems were identified as a few additional challenges that participants faced at the NTEP care centers. Using qualitative data from experiences of participants with MDR-TB, we identify patients' several unmet needs, attention to which can improve MDR-TB care. Educating private providers about MDR-TB risk and available rapid molecular assays can help the timely diagnosis of MDR-TB and reduce patients' out of pocket costs. At the RNTCP/NTEP, measures such as training health workers to build rapport with patients, maintaining hygienic environments in the health centers with adequate isolation of participants with MDR from other serious cases, referral of patients with psychiatric symptoms to mental health specialists and monitoring drug shortages can help in improving care delivery."
38125850,Double trouble: compounding effects of COVID-19 pandemic and antimicrobial resistance on drug resistant TB epidemiology in India.,Frontiers in public health,2023,Husain AA; Kashyap RS,
38079515,Low serum vitamin D in North Indian multi-drug resistant pulmonary tuberculosis patients: the role of diet and sunlight.,Annals of medicine,2023,Rathored J; Sharma SK; Chauhan A; Singh B; Banavaliker JN; Sreenivas V; Srivastava AK,
37968050,Comparison of gastric lavage/sputum and stool specimens in the diagnosis of pediatric pulmonary tuberculosis- A pilot study.,The Indian journal of tuberculosis,2023,Torane VP; Nataraj G; Kanade S; Deshmukh CT,"Global TB report 2021 mentions 11 % prevalence of pediatric TB, whereas 5.65% of the cases were reported from India in 2020. India features in the list of TB high burden countries, HIV-TB high burden and MDR-TB high burden countries. The diagnosis of pulmonary tuberculosis in children is difficult as they tend to swallow the sputum, invasive techniques of gastric aspirates needs to be followed and the disease itself is paucibacillary. The disease progresses rapidly in young children and hence rapid diagnosis is needed. Obtaining appropriate respiratory samples for diagnosis is difficult especially in primary care settings. Stool sample is easy to obtain and since children swallow sputum, it can be used to diagnose pulmonary tuberculosis. With this background, a pilot study was planned to evaluate the accuracy of the Xpert MTB/RIF assay for the detection of MTB in stool specimens obtained from pediatric pulmonary TB patients confirmed either by gastric lavage(GL) or sputum(SP) Xpert MTB/RIF assay. In addition, the results of microscopy of stool specimen were compared with that of gastric lavage/ sputum (GL/SP) specimen by Ziehl-Neelsen (ZN) and fluorescent light-emitting diode (LED) staining. A prospective study was carried out on 50 GL/SP Xpert MTB/RIF assay positive children (0-14 years). Stool specimens from these children were processed for Xpert MTB/RIF assay. The GL/SP and stool specimens were processed for ZN and Auramine O fluorescent microscopy as well. Fluorescent staining detected acid fast bacilli (AFB) in 24 GL/SP and 16 stool specimens as compared to 20 GL/SP and 10 stool specimens by ZN staining. Stool Xpert MTB/ RIF assay was positive in 29 out of 50 children. Rifampicin resistance was detected in 13 of the 50 (26%) GL/SP specimens. Of these 13 children, rifampicin resistance was detected in 7 stool specimens, rifampicin indeterminate resistance was detected in one specimen and in the remaining 5 children, M.tuberculosis was not detected in stool. Stool is a good non-invasive specimen for the detection of pulmonary TB in children, especially in remote areas, where invasive techniques cannot be performed for sample collection."
37919487,Current Epidemiology of Pediatric Tuberculosis.,Indian journal of pediatrics,2024,Mane SS; Shrotriya P,"Tuberculosis (TB) is a communicable disease that is a major cause of ill health and one of the leading causes of death worldwide. Children act as reservoirs of infection out of which future cases develop. Without the successful detection and treatment of TB infection and disease in children, elimination strategies for TB will be ineffective. India has a severe problem with TB in children, which accounts for around 31% of the global pediatric TB load. However, over the past 10 y, children have consistently made up 6-7% of all patients treated yearly under the National Tuberculosis Elimination Programme (NTEP). There is an estimated detection gap of 56% in India, which is the reason for many missed cases of TB in children. Only 3% of children less than 14 y with MDR/RR-TB, are reported from India, which again is an underestimation of the actual incident cases. Population density, housing and living conditions, environmental conditions, cultural practices, age of the child, exposure to tobacco and other environmental pollutants, the virulence of the mycobacterial strain and their genetics, host genetics, BCG vaccination, malnutrition, immunodeficiency are some of the risk factors for TB exposure, infection and disease in children. Understanding the natural history as well as the epidemiology of childhood TB is important to assess which children are the most vulnerable. It would also guide us in understanding the burden of pediatric TB on a regional, national, or global level, thus facilitating the appropriate targeting of health resources and also guiding policy-making decisions."
37724763,The Impact of Preventive Treatment for Multidrug- and Rifampin-Resistant Tuberculosis Exceeds Trial-Based Estimates.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2024,Kasaie P; Pennington J; Gupta A; Dowdy DW; Kendall EA,"Several clinical trials of tuberculosis preventive treatment (TPT) for household contacts of patients with multidrug- or rifampin-resistant tuberculosis (MDR/RR-TB) are nearing completion. The potential benefits of delivering TPT to MDR/RR-TB contacts extend beyond the outcomes that clinical trials can measure. We developed an agent-based, household-structured TB and MDR/RR-TB transmission model, calibrated to an illustrative setting in India. We simulated contact investigation in households of patients with MDR/RR-TB, comparing an MDR/RR-TPT regimen (assuming 6-month duration, 70% efficacy) and associated active case finding against alternatives of contact investigation without TPT or no household intervention. We simulated the TB and MDR/RR-TB incidence averted relative to placebo over 2 years, as measurable by a typical trial, as well as the incidence averted over a longer time horizon, in the broader population, and relative to no contact investigation. Observing TPT and placebo recipients for 2 years as in a typical trial, MDR/RR-TPT was measured to prevent 72% (interquartile range, 45%-100%) of incident MDR/RR-TB among recipients; the median number needed to treat (NNT) to prevent 1 MDR/RR-TB case was 73, compared to placebo. This NNT decreased to 54 with 13-18 years of observation, to 27 when downstream transmission effects were also considered, and to 12 when the effects of active TB screening were included by comparing to a no-household-contact-intervention scenario. If forthcoming trial results demonstrate efficacy, the long-term population impact of TPT for MDR/RR-TB-including the large effect of increased active TB detection among MDR/RR-TB contacts-could be much greater than suggested by trial outcomes alone."
37636185,Prospective study on outcome of MDR-TB using the shorter regimen during COVID-19 pandemic.,Journal of family medicine and primary care,2023,Kumar GS; Sameena P; Karthik V; Ghanate N,"According to Indian TB report 2020, 66,225 MDR/RR-TB cases were detected in India, 56,569 (85%) were put on treatment, and 40,397 (75%) were initiated on shorter drug regimens at the time of diagnosis. In the absence of an effective vaccine, there is an urgent need for new treatment regimens, drugs, and diagnostics to slow the evolution of drug resistance and limit transmission of resistant variants, as well as to ameliorate the treatment outcome of patients infected with MDR/XDR M. tuberculosis strains. To evaluate the efficacy of a shorter drug regimen in MDR-PTB and estimate the adverse effects of drugs used in the regimen. This is an institution-based prospective study which included 135 confirmed MDR-PTB patients. Patients with extra-pulmonary MDR-TB and use of SLI for more than one month were excluded. The success rate using a shorter regimen was 65.2% which is respectable, given the COVID-19 pandemic considered during the study period. Minor adverse events such as nausea (39.3%) and vomiting (34.8%) were reported. Rare adverse effects such as hearing loss (8.9%) and hypothyroidism (0.2%) were also seen in the study population. Overall treatment success was similar when compared to other studies done previously. A shorter drug regimen was associated with minor adverse effects such as gastrointestinal adverse effects such as vomiting and hearing loss observed in elderly patients. Baseline unknown drug resistance and lower BMI were associated with unsuccessful outcomes. Measures should be taken to improve nutrition. Our results argue the need for improving baseline DST at peripheral areas in order to effectively evaluate resistance to other drugs, especially in settings with high levels of first and second-line drug resistance."
37406039,Maternal Colonization Versus Nosocomial Transmission as the Source of Drug-Resistant Bloodstream Infection in an Indian Neonatal Intensive Care Unit: A Prospective Cohort Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023,Robinson ML; Johnson J; Naik S; Patil S; Kulkarni R; Kinikar A; Dohe V; Mudshingkar S; Kagal A; Smith RM; Westercamp M; Randive B; Kadam A; Babiker A; Kulkarni V; Karyakarte R; Mave V; Gupta A; Milstone AM; Manabe YC,"Drug-resistant gram-negative (GN) pathogens are a common cause of neonatal sepsis in low- and middle-income countries. Identifying GN transmission patterns is vital to inform preventive efforts. We conducted a prospective cohort study, 12 October 2018 to 31 October 2019 to describe the association of maternal and environmental GN colonization with bloodstream infection (BSI) among neonates admitted to a neonatal intensive care unit (NICU) in Western India. We assessed rectal and vaginal colonization in pregnant women presenting for delivery and colonization in neonates and the environment using culture-based methods. We also collected data on BSI for all NICU patients, including neonates born to unenrolled mothers. Organism identification, antibiotic susceptibility testing, and next-generation sequencing (NGS) were performed to compare BSI and related colonization isolates. Among 952 enrolled women who delivered, 257 neonates required NICU admission, and 24 (9.3%) developed BSI. Among mothers of neonates with GN BSI (n = 21), 10 (47.7%) had rectal, 5 (23.8%) had vaginal, and 10 (47.7%) had no colonization with resistant GN organisms. No maternal isolates matched the species and resistance pattern of associated neonatal BSI isolates. Thirty GN BSI were observed among neonates born to unenrolled mothers. Among 37 of 51 BSI with available NGS data, 21 (57%) showed a single nucleotide polymorphism distance of ≤5 to another BSI isolate. Prospective assessment of maternal GN colonization did not demonstrate linkage to neonatal BSI. Organism-relatedness among neonates with BSI suggests nosocomial spread, highlighting the importance of NICU infection prevention and control practices to reduce GN BSI."
37234098,Studying the efficacy of isolation as a control strategy and elimination of tuberculosis in India: A mathematical model.,Infectious Disease Modelling,2023,Bhadauria AS; Dhungana HN; Verma V; Woodcock S; Rai T,"India has the highest burden of both tuberculosis (TB) and multidrug-resistant TB (MDR-TB) based on the WHO Global TB Report 2019. Although the available data suggest that the total TB incidence has declined, the absolute number of new cases is still increasing. The number of reported TB cases in India in 2018 was 2.2 million, which was 1.5 million in 2009. About 47% increment in TB case notification in India within a decade shows a persistent public health problem. India contributes about 22% of the World's TB burden. Indian National Strategic Plan 2017-2025, sets out the government plans to eliminate TB by 2025. However, the milestone seems unrealistic to achieve the TB eradication goal by 2025. We developed a five-dimensional mathematical model to understand the TB dynamics in India and investigate the possibility of the earliest TB eradication time frame. The model stratifies the entire TB class into three different classes as drug-sensitive (DS), MDR, and isolated classes. The effective reproduction number, equilibrium points, and stability analysis of the model were carried out. This model predicts the total estimated cases of DS-TB and MDR-TB from 2018 to 2035 through numerical simulation and suggests that TB may be eliminated by 2035 in India if the treatment success rate could be achieved to 95%, by contact tracing and isolating at least 50% of MDR-TB."
37202941,Optimal management of drug-resistant tuberculosis: Can India lead the way?,The Indian journal of medical research,2023,Masini T; Furin J; Udwadia Z; Guglielmetti L,
36962909,"Cost-effectiveness of short, oral treatment regimens for rifampicin resistant tuberculosis.",PLOS global public health,2022,Sweeney S; Berry C; Kazounis E; Motta I; Vassall A; Dodd M; Fielding K; Nyang'wa BT,"Current options for treating tuberculosis (TB) that is resistant to rifampicin (RR-TB) are few, and regimens are often long and poorly tolerated. Following recent evidence from the TB-PRACTECAL trial countries are considering programmatic uptake of 6-month, all-oral treatment regimens. We used a Markov model to estimate the incremental cost-effectiveness of three regimens containing bedaquiline, pretomanid and linezolid (BPaL) with and without moxifloxacin (BPaLM) or clofazimine (BPaLC) compared with the current mix of long and short standard of care (SOC) regimens to treat RR-TB from the provider perspective in India, Georgia, Philippines, and South Africa. We estimated total costs (2019 USD) and disability-adjusted life years (DALYs) over a 20-year time horizon. Costs and DALYs were discounted at 3% in the base case. Parameter uncertainty was tested with univariate and probabilistic sensitivity analysis. We found that all three regimens would improve health outcomes and reduce costs compared with the current programmatic mix of long and short SOC regimens in all four countries. BPaL was the most cost-saving regimen in all countries, saving $112-$1,173 per person. BPaLM was the preferred regimen at a willingness to pay per DALY of 0.5 GDP per capita in all settings. Our findings indicate BPaL-based regimens are likely to be cost-saving and more effective than the current standard of care in a range of settings. Countries should consider programmatic uptake of BPaL-based regimens."
36740313,Need to reinvigorateTuberculosis research in India - A review of studies registered under clinical trial registry of India.,The Indian journal of tuberculosis,2023,James J; Jamuna Rani R; Sathyanarayanan V; Sudha K,"Tuberculosis (TB) is one of the most serious public health issues in India. According to the global TB report 2020, India accounts for about one-quarter of the global TB burden. Despite considerable advances in mandatory notification of all TB cases, incorporation of the national health programmes with general health services (National Health Mission), and national drug resistance surveillance and many other accomplishments, much more needs to be considered in India to significantly decrease TB incidence. Research is the foundation for medical breakthroughs. In this study, all Tuberculosis-related studies registered under Clinical Trial Registry of India from its inception in July 2007 to February 2021 were reviewed and analysed using the keyword ''Tuberculosis'' in the 'Trial Search' section. A total of 31,196 studies were registered in CTRI, with 180 studies (0.58%) being related to tuberculosis. Of these studies, 76 (42.2%) were interventional in nature. These consisted of evaluating different management or treatment TB (50%, n = 90), diagnostic studies (19.4%, n = 35) and studies related to screening and prevention of TB (7.8%, n = 14). Maximum studies were conducted to evaluate safety and efficacy of anti-TB drugs (10%, n = 18) and to evaluate efficacy of shortening of duration of treatment (8.9%, n = 16). The studies related to extra pulmonary TB, MDR TB and TB in special populations and sources of funding and locations of the study sites were also analysed. These indicate that only minimal TB-related researches are conducted in India. It is indispensable to promote tuberculosis research in India in order to eradicate this infectious disease."
36457842,"Distribution and frequency of common mutations in rpoB gene of Mycobacterium tuberculosis detected by Xpert MTB/RIF and identification of residential areas of rifampicin resistant-TB cases: A first retrospective study from Mizoram, Northeast India.",Journal of clinical tuberculosis and other mycobacterial diseases,2022,Sailo CV; Lalremruata R; Sanga Z; Fela V; Kharkongor F; Chhakchhuak Z; Chhakchhuak L; Nemi L; Zothanzama J; Kumar NS,"Rifampicin resistance (RR) is a surrogate marker of multidrug-resistant tuberculosis. The aim of this study is to determine the frequency of the commonly mutated probes for Archived data of 13,454 Xpert MTB/RIF reports were evaluated retrospectively between 2014 and 2021. Socio-demographic and available clinical information were reviewed and analyzed for RR-TB cases only. Logistic Regression was used to analyze the parameters with respect to probe types. P-value ≤ 0.05 was considered to be statistically significant. 2,894 patients had This study provides genetic pattern of drug resistance accountable for RR over the past years in Mizoram which will help local clinicians in the initiation of correct treatment. Also, our findings provide a baseline data on the magnitude of RR-TB within the state and identification of the residential areas can help local health authorities in planning surveillance programs to control the spread of RR-TB."
36272707,Whole-genome sequencing of presumptive MDR-TB isolates from a tertiary healthcare setting in Mumbai.,Journal of global antimicrobial resistance,2022,Zade A; Shah S; Hirani N; Kondabagil K; Joshi A; Chatterjee A,"Whole-genome sequencing (WGS) of Mycobacterium tuberculosis (MTB), proven to be a better alternative when compared with the combined sensitivity and specificity of all other modalities for diagnosis of tuberculosis (TB), aids epidemiological surveillance investigations by combining the current research with diagnostics. This study was conducted to identify and resolve operational challenges in performing WGS-based drug resistance testing (DRT) for MTB in a TB culture and drug susceptibility testing (DST) laboratory. Three critical, non-redundant steps for WGS-based DRT were tested: viz. DNA extraction, high-throughput paired-end next-generation sequencing (NGS), and genomic analysis pipeline for automated reporting of WGS-based DRT. DNA was extracted from 100 liquid culture isolates on a mycobacterial growth indicator tube (MGIT) using DNEASY Ultraclean Microbial Kit (Qiagen, USA) as per the manufacturer's instructions. Illumina paired-end sequencing was performed. All analysis steps were automated using custom python scripts, requiring no intervention. Variant calling was performed as per the World Health Organization (WHO) technical guide. The number of cultures resistant to rifampicin, isoniazid, pyrazinamide, ethambutol, and streptomycin was 89, 88, 35, 67, and 73, respectively. Resistance to amikacin, kanamycin, and capreomycin was found in 15, 17, and 15 cultures, respectively. Seventy cultures were resistant to fluoroquinolones, four were resistant to ethionamide, and 12 were resistant to linezolid. Six cultures were resistant to only one of the 18 drugs tested. Seventy-five cultures were resistant to more than three anti-TB drugs. One culture was resistant to 13 of the 18 anti-TB drugs tested for this study. The maximum number of variants were observed in the rpoB gene (n = 93, 93%), wherein the Ser450Leu was the predominant mutation (n = 68, 73%). Ser315Thr was the most common variant (n = 86, 97%) that encoded resistance to isoniazid. The Lys43Arg variant encodes resistance to streptomycin and was the third most predominant variant (n = 65, 89%). In addition to the high levels of resistance observed in the dataset, we also observed a high proportion of Beijing strains (n = 63, 63%). Compared with results from routine diagnostics based on the 'Guidelines on Programmatic Management of Drug-Resistant TB (PMDT) in India', none of the samples had DST available for all 18 drugs. This represents a gap in PMDT guidelines. The WGS-DRT must be considered as the primary DST method after a sample is flagged rifampicin-resistant by cartridge-based nucleic acid amplification testing (CBNAAT). With several research studies currently underway globally to identify novel variants associated with drug resistance and classifiy their minimum inhibitory coefficients, WGS-DRT presents a scalable technology that updates analytical pipelines, relegating the need for changing microbiological protocols."
36200688,Factors affecting the treatment outcome of injection based shorter MDR-TB regimen at a referral centre in India.,Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,2022,B K; Singla R; Singla N; V V; Singh K; Choudhury MP; Bhattacherjee N,"Rifampicin-resistant/multidrug-resistant tuberculosis (RR/MDR-TB) is a significant burden on global tuberculosis (TB) prevention and eradication efforts. MDR-TB can be treated, but it is expensive, takes a long time (typically two years) and contains potentially toxic drugs. Under certain conditions, the WHO recommends standard regimens lasting 9 to 11 months rather than individual regimens lasting at least 18-20 months. The current study sought to identify factors associated with treatment outcomes in RR/MDR-TB patients receiving an injection-based regimen for 9-11 months. This ambispective (prospective and retrospective) observational study was conducted at a tertiary tuberculosis institute in New Delhi, India. Between February 2021 and March 2022, patients with RR/MDR-pulmonary TB who received an injection-based shorter regimen were enrolled. Factors related to treatment outcomes were investigated and compared in patients who had a successful outcome versus those who did not. A total of 55 patients were enrolled, with 50.91% being successful (cured/treatment completed) and 49.09% failing (including failure, lost to follow up, death, and regimen change). The following factors were significantly associated with the unsuccessful outcome, according to univariate analysis: BMI (<18.5 kg/m2), anaemia, previous anti-TB treatment, bilateral chest X-ray involvement, and far advanced disease on chest X-ray. BMI (<18.5 kg/m2), anaemia, and far advanced disease on chest X-ray were all significantly associated with mortality. Anaemia was associated with an unsuccessful outcome (p=0.049) and mortality (p=0.048) in the multiple logistic regression analysis. Early treatment initiation, improved nutrition and anaemia, and regular monitoring can all improve RR/MDR-TB patients' outcomes and prognoses."
35989319,High fluoroquinolone resistance proportions among multidrug-resistant tuberculosis driven by dominant L2 Mycobacterium tuberculosis clones in the Mumbai Metropolitan Region.,Genome medicine,2022,Dreyer V; Mandal A; Dev P; Merker M; Barilar I; Utpatel C; Nilgiriwala K; Rodrigues C; Crook DW; CRyPTIC Consortium; Rasigade JP; Wirth T; Mistry N; Niemann S,"Multidrug-resistant (MDR) Mycobacterium tuberculosis complex (MTBC) strains are a serious health problem in India, also contributing to one-fourth of the global MDR tuberculosis (TB) burden. About 36% of the MDR MTBC strains are reported fluoroquinolone (FQ) resistant leading to high pre-extensively drug-resistant (pre-XDR) and XDR-TB (further resistance against bedaquiline and/or linezolid) rates. Still, factors driving the MDR/pre-XDR epidemic in India are not well defined. In a retrospective study, we analyzed 1852 consecutive MTBC strains obtained from patients from a tertiary care hospital laboratory in Mumbai by whole genome sequencing (WGS). Univariate and multivariate statistics was used to investigate factors associated with pre-XDR. Core genome multi locus sequence typing, time scaled haplotypic density (THD) method and homoplasy analysis were used to analyze epidemiological success, and positive selection in different strain groups, respectively. In total, 1016 MTBC strains were MDR, out of which 703 (69.2%) were pre-XDR and 45 (4.4%) were XDR. Cluster rates were high among MDR (57.8%) and pre-XDR/XDR (79%) strains with three dominant L2 (Beijing) strain clusters (Cl 1-3) representing half of the pre-XDR and 40% of the XDR-TB cases. L2 strains were associated with pre-XDR/XDR-TB (P < 0.001) and, particularly Cl 1-3 strains, had high first-line and FQ resistance rates (81.6-90.6%). Epidemic success analysis using THD showed that L2 strains outperformed L1, L3, and L4 strains in short- and long-term time scales. More importantly, L2 MDR and MDR + strains had higher THD success indices than their not-MDR counterparts. Overall, compensatory mutation rates were highest in L2 strains and positive selection was detected in genes of L2 strains associated with drug tolerance (prpB and ppsA) and virulence (Rv2828c). Compensatory mutations in L2 strains were associated with a threefold increase of THD indices, suggesting improved transmissibility. Our data indicate a drastic increase of FQ resistance, as well as emerging bedaquiline resistance which endangers the success of newly endorsed MDR-TB treatment regimens. Rapid changes in treatment and control strategies are required to contain transmission of highly successful pre-XDR L2 strains in the Mumbai Metropolitan region but presumably also India-wide."
35760644,"MGIT sensitivity testing and genotyping of drug resistant Mycobacterium tuberculosis isolates from Mizoram, Northeast India.",Indian journal of medical microbiology,2022,Sailo CV; Zami Z; Lalremruata R; Sanga Z; Fela V; Kharkongor F; Chhakchhuak L; Chhakchhuak Z; Laldinmawii G; Kumar D; Kumar NS,"Tuberculosis, a crucial infectious disease is still a health concern globally. India is among the countries with high MDR-TB burden. Currently, sputum smear microscopy using Ziehl Neelsen stain and GeneXpert are the only diagnostic means in Mizoram. This study was done to characterize local tuberculosis strains circulating in Mizoram. Sputum was cultured using MGIT 960 and DST was performed for Streptomycin, Isoniazid, Rifampicin, Ethambutol and Pyrazinamide. GeneXpert test was done simultaneously. DNA was extracted using Trueprep AUTO v2, molbio diagnostics. Antibiotic Resistance Genes and LSP were amplified and sequenced. Ser315Thr was the most common mutation in katG among MDR-TB isolates. GeneXpert probes A and D drop out upon sequencing showed L511P, H526Q and H526L mutation. The L511P and H526Q mutations were seen in new and treated cases. Discrepancy between MGIT 960 and GeneXpert were observed. LSP-PCR revealed that Indo-Oceanic, East-African Indian, Euro-American and Beijing lineages were found in Mizoram. This study provides mutation information on the resistant genotypes detected with GeneXpert as well as MGIT 960. It also provides information on the lineages of Mycobacterium tuberculosis circulating in the state. Utilization of sequencing technologies is essential in diagnostic laboratories to rule out discrepant results and as a cautionary measure to prevent wrong diagnosis and treatment."
35760485,"Health-related quality of life of multidrug-resistant tuberculosis patients: A study of eastern Uttar Pradesh, India.",The Indian journal of tuberculosis,2022,Venkatesh U; Sharma A; Srivastava DK; Durga R,"Much attention has been given to the microbiological aspect, drug treatment, and clinical indicators of MDR-TB, but patients' QOL has remained a neglected area. In this study, we aimed to find the quality of MDRTB on various quality of life domains during the initiation of the MDR Treatment regimen. A cross-sectional study was conducted over a period of 6 months at the Drug-Resistance Tuberculosis Management Centre (DR-TB Centre), of a tertiary care centre in the eastern Uttar pradesh, India. Patients with age >18 years diagnosed with MDR-TB (Multidrug resistance TB) were included in the study. The WHO QOL-BREF scale was used to assess the health-related quality of life of patients. Data were analyzed using SPSS version 21. The institutional ethical review committee approved the study, and consent was taken before the participation of patients. A total of 157 patients were included in the study & 45.85% were dissatisfied with their condition. Social domain of WHO QOL-BREF is having the lowest mean score (28.51 ± 15.4) while psychological has high mean values (39.92 ± 6.91). There was a significant difference in the physical health domain with respect to age (p-value 0.001). Similar differences have been seen in the psychological domain regarding patient sex (p-value 0.001), smoking and alcohol within the social domain, and loss of income in the environmental domain. The mean value of different domains of WHO QOL-BREF is low in MDR-TB patients, with social relation domain being the most affected."
35435077,"Spoligotyping of Mycobacterium tuberculosis isolates from Pulmonary Tuberculosis patients from North Karnataka, India.",Tropical doctor,2022,Bellad R; Nagamoti M; Sharma P; Chauhan DS,"Tuberculosis (TB) is a leading cause of morbidity and mortality in low income countries. Multi-drug resistant (MDR-TB) is seen as the reason for many TB outbreaks globally and is also a threat to control programmes. India accounts for 27% TB cases worldwide. Our study was undertaken to understand the outbreaks related to MTB. All the sputum samples were subjected to microscopy and smear positive samples were cultured on Lowenstein-Jensen (L-J) media. Identification was carried by biochemical analysis. A total of 57 isolates were subjected to Drug Susceptibility testing (DST) and spoligotyping, where eleven MDR-TB isolates were confirmed, of which ten were SIT1/Beijing and one SIT53/T1. Spoligotyping results showed that the predominant lineage in this region was SIT1/Beijing followed by SIT124/U and the strains which did not match spoligodatabase were named as orphans. In this study, MDR-TB was associated with SIT1/Beijing and mono resistance belonged to CAS1_DEL."
35044136,"Determinants, risk factors and spatial analysis of multi-drug resistant pulmonary tuberculosis in Jodhpur, India.",Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,2022,Ladha N; Bhardwaj P; Chauhan NK; Naveen KHS; Nag VL; Giribabu D,"This study was planned to estimate the proportion of confirmed multi-drug resistance pulmonary tuberculosis (TB) cases out of the presumptive cases referred to DTC (District Tuberculosis Center) Jodhpur for diagnosis; to identify clinical and socio-demographic risk factors associated with the multidrug-resistant pulmonary TB and to assess the spatial distribution to find out clustering and pattern in the distribution of pulmonary TB with the help of Geographic Information System (GIS). In the Jodhpur district, 150 confirmed pulmonary multi-drug resistant tuberculosis (MDR-TB) cases, diagnosed by probe-based molecular drug susceptibility testing method and categorized as MDR in DTC's register (District Tuberculosis Center), were taken. Simultaneously, 300 control of confirmed non-MDR or drug-sensitive pulmonary TB patients were taken. Statistical analysis was done with logistic regression. In addition, for spatial analysis, secondary data from 2013-17 was analyzed using Global Moran's I and Getis and Ordi (Gi*) statistics. In 2012-18, a total of 12563 CBNAAT (Cartridge-based nucleic acid amplification test) were performed. 2898 (23%) showed M. TB positive but rifampicin sensitive, and 590 (4.7%) showed rifampicin resistant. Independent risk factors for MDR TB were ≤60 years age (AOR 3.0, CI 1.3-7.1); male gender (AOR 3.4, CI 1.8-6.7); overcrowding (AOR 1.6, CI 1.0-2.7); using chulha (smoke appliance) for cooking (AOR 2.5, CI 1.2-4.9), past TB treatment (AOR 5.7, CI 2.9-11.3) and past contact with MDR patient (AOR 10.7, CI 3.7-31.2). All four urban TUs (Tuberculosis Units) had the highest proportion of drug-resistant pulmonary TB. There was no statistically significant clustering, and the pattern of cases was primarily random. Most of the hotspots generated were present near the administrative boundaries of TUs, and the new ones mostly appeared in the area near the previous hotspots. A random pattern seen in cluster analysis supports the universal drug testing policy of India. Hotspot analysis helps cross administrative border initiatives with targeted active case finding and proper follow-up."
34752317,Drug resistance pattern and mutation pattern in pediatric tuberculosis: Study from north India.,The Indian journal of tuberculosis,2021,Khurana P; Saigal K; Ghosh A,"The emergence of multidrug-resistant MDR-TB and extensively drug-resistant XDR-TB are serious threats to global TB control. Molecular tests like GenoType MTBDRplus has revolutionized MDR-TB diagnosis by rapid detection of resistance, leading to early and appropriate management of DR-TB. Information about common mutations imparting resistance to RIF and INH, helps in understanding the disease epidemiology in various regions. The study was conducted to determine the genetic mutation in drug resistant tuberculosis in children less than 12 years with pulmonary or extrapulmonary tuberculosis. Retrospective analysis was done over a period of 54 months from January 2015 to June 2019 to study the resistance pattern and mutations present in DR-TB in children less than 12 years with suspected pulmonary or extrapulmonary tuberculosis using Hain's GenoType MTBDRplus VER 2.0. Over a period of 54 months, samples from 3461 patients with suspected TB were received for MGIT culture, out of which, 347 were positive for Mycobacterium tuberculosis. 250 of these 347 isolated were tested for drug resistance by Hain's GenoType MTBDRplus VER 2.0.61.1% were sensitive to isoniazid and rifampicin while 15.2% were DR-TB (38 out of 250). Out of these 38, 22 were MDR TB, 13 were isoniazid monoresistant (34.2%) and 3 were rifampicin monoresistant. The most common genotypic resistance for rifampicin was absence of rpoB WT8 band and presence of rpoB MUT 3 band (88%). 84.6% of the INH monoresistant isolates showed high level isoniazid resistant. All these isolates showed presence of katG MUT 1 band. On comparing Hain's GenoType MTBDRplus VER 2.0 with Xpert MTB/Rif Assay, most common mutation for rifampicin resistance at S531L which can be detected by Xpert MTB/Rif Assay (probe E). However, two cases with rifampicin resistance had mutation in codon region 509-513 and 513-519 which could be missed by Xpert MTB/Rif Assay. We cannot solely rely on Xpert MTB/Rif Assay for detection of drug resistance due to the risk of missing the isoniazid monoresistance. GenoType MTBDRplus has revolutionized MDR-TB diagnosis by substantially reducing turn around time and leading to early management of DR-TB cases."
