pmid,title,percents,n_percents,min,max,mean,context_snippets
39497757,"Treatment outcomes among patients with isoniazid mono-resistant tuberculosis in Mumbai, India: A retrospective cohort study.",27; 7; 54; 88; 87; 52; 35; 2.3; 9.2; 1.8; 13; 5,12,1.8,88.0,31.775000000000002,"ity globally, with India accounting for 27% of the estimated number of people with | sistant TB initiated on treatment, 217 (7 %) had INH mono-resistant TB. Of these, 5 | %) had INH mono-resistant TB. Of these, 54 % (117/217) were female, with a median ag | erquartile range: 20-40). The majority (88 %; 191/217) presented with pulmonary TB, | presented with pulmonary TB, and most (87 %; 188/217) had favourable treatment outc | tcomes, including treatment completion (52 %; 112/217) and cure (35 %; 76/217). Unfa | nt completion (52 %; 112/217) and cure (35 %; 76/217). Unfavourable outcomes, includ | outcomes, including treatment failure (2.3 %; 5/217), loss to follow-up (9.2 %; 20/2 | lure (2.3 %; 5/217), loss to follow-up (9.2 %; 20/217), or death (1.8 %; 4/217), were | to follow-up (9.2 %; 20/217), or death (1.8 %; 4/217), were observed in 13 % (29/217) | death (1.8 %; 4/217), were observed in 13 % (29/217) of patients. A total of ten (5 | % (29/217) of patients. A total of ten (5 %) patients experienced at least one non-"
39278675,Comparative study of infection control practices in DOTS/sputum microscopy centre in two different districts of state of Uttarakhand and Uttar Pradesh of India.,100; 66.66; 57.14; 55.56; 21.43; 27.78; 33.33; 28.57,8,21.43,100.0,48.80875,"centres of both selected districts i.e. 100% sample size are covered in the study. H | trol of infection. In Dehradun district 66.66% (12) centers and in Ghaziabad district | (12) centers and in Ghaziabad district 57.14% (16) centers have adequate hand washing | to the infection. In Dehradun district, 55.56% (10) centers have adequate PPE availabl | available whereas in Ghaziabad District 21.43% (6) centers have adequate PPE available | on and control for HCWs are provided in 27.78% (5) DOTS/sputum microscopy center in De | ventilation in their working places. In 33.33% (6) DOTS/sputum microscopy center in De | /sputum microscopy center in Dehradun & 28.57% (8) in Ghaziabad district have adequate"
39277889,Diagnostics Evaluation of Smart Sure™ Mycobacterium tuberculosis Screening Kit and Smart Sure™ Multidrug-resistant Tuberculosis Detection Kit on Nonsputum Specimens at a Tertiary Care Center of North India.,71.59; 98.28; 68.35; 90.83; 75.0; 100; 100,7,68.35,100.0,86.29285714285713,"ty of Smart Sure™ MTB screening kit was 71.59% and 98.28%, respectively, with Xpert ul | Sure™ MTB screening kit was 71.59% and 98.28%, respectively, with Xpert ultra and 68. | 28%, respectively, with Xpert ultra and 68.35% and 90.83%, respectively, with MGIT cul | tively, with Xpert ultra and 68.35% and 90.83%, respectively, with MGIT culture. While | Sure™ MDR-TB kits showed sensitivity of 75.0% and 100% of specificity. However, for i | TB kits showed sensitivity of 75.0% and 100% of specificity. However, for isoniazid | istance, Smart Sure™ MDR-TB kits showed 100% of sensitivity and specificity with MGI"
39067958,"Treatment outcomes of multidrug resistant tuberculosis (MDR TB) treated with bedaquiline under programmatic management of drug resistant tuberculosis at a tertiary care hospital in Punjab, India.",52.9; 20; 11.6; 14.2; 0.12,5,0.12,52.9,19.764,"vely. Out of 155 patients enrolled, 82 (52.9 %) were cured, 31 (20 %) completed treatm | s enrolled, 82 (52.9 %) were cured, 31 (20 %) completed treatment, 18 (11.6 %) defau | red, 31 (20 %) completed treatment, 18 (11.6 %) defaulted, 22 (14.2 %) died and 2 (0.1 | d treatment, 18 (11.6 %) defaulted, 22 (14.2 %) died and 2 (0.12 %) failed treatment. | 6 %) defaulted, 22 (14.2 %) died and 2 (0.12 %) failed treatment. Bdq is well tolerate"
39067941,Adverse drug reactions due to linezolid in the programmatic management of drug-resistant tuberculosis in India: A retrospective multicenter study.,42.45; 50; 44.45; 33.33; 22.22; 93.33; 6.67; 4.44; 4.44; 37.78; 42.22; 20; 6.67; 93.33,14,4.44,93.33,35.809285714285714,"viduals with the disease. Of these, 45 (42.45%) experienced linezolid ADRs, with an in | ears) and more likely to be female (27, 50%) than those without ADRs. ADR severity | hout ADRs. ADR severity was mild in 20 (44.45%), moderate in 15 (33.33%), and severe i | as mild in 20 (44.45%), moderate in 15 (33.33%), and severe in 10 (22.22%) patients. T | erate in 15 (33.33%), and severe in 10 (22.22%) patients. The most common ADR was peri | mmon ADR was peripheral neuropathy (42, 93.33%), followed by lactic acidosis (3, 6.67% | 3.33%), followed by lactic acidosis (3, 6.67%), anemia (2, 4.44%), and optic neuritis | lactic acidosis (3, 6.67%), anemia (2, 4.44%), and optic neuritis (2, 4.44%). Dosing | emia (2, 4.44%), and optic neuritis (2, 4.44%). Dosing was reduced in 17 (37.78%) pat | s (2, 4.44%). Dosing was reduced in 17 (37.78%) patients, and linezolid was withdrawn | linezolid was withdrawn entirely in 19 (42.22%) patients. Only 9 (20%) patients contin | tirely in 19 (42.22%) patients. Only 9 (20%) patients continued linezolid unmodifie | ADR symptoms resolved completely in 4 (6.67%) patients and decreased in 42 (93.33%) | 4 (6.67%) patients and decreased in 42 (93.33%) patients. Linezolid ADRs, often neurop"
37968050,Comparison of gastric lavage/sputum and stool specimens in the diagnosis of pediatric pulmonary tuberculosis- A pilot study.,11; 5.65; 26,3,5.65,26.0,14.216666666666667,"Global TB report 2021 mentions 11 % prevalence of pediatric TB, whereas 5.6 | 1 % prevalence of pediatric TB, whereas 5.65% of the cases were reported from India i | esistance was detected in 13 of the 50 (26%) GL/SP specimens. Of these 13 children,"
37919487,Current Epidemiology of Pediatric Tuberculosis.,31; 7; 56; 3,4,3.0,56.0,24.25,"in children, which accounts for around 31% of the global pediatric TB load. Howeve | y, children have consistently made up 6-7% of all patients treated yearly under th | There is an estimated detection gap of 56% in India, which is the reason for many | ny missed cases of TB in children. Only 3% of children less than 14 y with MDR/RR-"
37724763,The Impact of Preventive Treatment for Multidrug- and Rifampin-Resistant Tuberculosis Exceeds Trial-Based Estimates.,70; 72; 45; 100,4,45.0,100.0,71.75,"TPT regimen (assuming 6-month duration, 70% efficacy) and associated active case fi | ial, MDR/RR-TPT was measured to prevent 72% (interquartile range, 45%-100%) of inci | ed to prevent 72% (interquartile range, 45%-100%) of incident MDR/RR-TB among recip | o prevent 72% (interquartile range, 45%-100%) of incident MDR/RR-TB among recipients"
37636185,Prospective study on outcome of MDR-TB using the shorter regimen during COVID-19 pandemic.,85; 75; 65.2; 39.3; 34.8; 8.9; 0.2,7,0.2,85.0,44.05714285714286,"B cases were detected in India, 56,569 (85%) were put on treatment, and 40,397 (75% | 85%) were put on treatment, and 40,397 (75%) were initiated on shorter drug regimen | uccess rate using a shorter regimen was 65.2% which is respectable, given the COVID-1 | d. Minor adverse events such as nausea (39.3%) and vomiting (34.8%) were reported. Ra | ts such as nausea (39.3%) and vomiting (34.8%) were reported. Rare adverse effects su | e adverse effects such as hearing loss (8.9%) and hypothyroidism (0.2%) were also se | hearing loss (8.9%) and hypothyroidism (0.2%) were also seen in the study population"
37406039,Maternal Colonization Versus Nosocomial Transmission as the Source of Drug-Resistant Bloodstream Infection in an Indian Neonatal Intensive Care Unit: A Prospective Cohort Study.,9.3; 47.7; 23.8; 47.7; 57,5,9.3,57.0,37.1,"onates required NICU admission, and 24 (9.3%) developed BSI. Among mothers of neonat | s of neonates with GN BSI (n = 21), 10 (47.7%) had rectal, 5 (23.8%) had vaginal, and | BSI (n = 21), 10 (47.7%) had rectal, 5 (23.8%) had vaginal, and 10 (47.7%) had no col | rectal, 5 (23.8%) had vaginal, and 10 (47.7%) had no colonization with resistant GN | of 51 BSI with available NGS data, 21 (57%) showed a single nucleotide polymorphis"
37234098,Studying the efficacy of isolation as a control strategy and elimination of tuberculosis in India: A mathematical model.,47; 22; 95; 50,4,22.0,95.0,53.5,"n, which was 1.5 million in 2009. About 47% increment in TB case notification in In | health problem. India contributes about 22% of the World's TB burden. Indian Nation | tment success rate could be achieved to 95%, by contact tracing and isolating at le | contact tracing and isolating at least 50% of MDR-TB."
36962909,"Cost-effectiveness of short, oral treatment regimens for rifampicin resistant tuberculosis.",3,1,3.0,3.0,3.0,zon. Costs and DALYs were discounted at 3% in the base case. Parameter uncertainty
36740313,Need to reinvigorateTuberculosis research in India - A review of studies registered under clinical trial registry of India.,0.58; 42.2; 50; 19.4; 7.8; 10; 8.9,7,0.58,50.0,19.84,"e registered in CTRI, with 180 studies (0.58%) being related to tuberculosis. Of thes | to tuberculosis. Of these studies, 76 (42.2%) were interventional in nature. These c | g different management or treatment TB (50%, n = 90), diagnostic studies (19.4%, n | t TB (50%, n = 90), diagnostic studies (19.4%, n = 35) and studies related to screeni | ated to screening and prevention of TB (7.8%, n = 14). Maximum studies were conducte | e safety and efficacy of anti-TB drugs (10%, n = 18) and to evaluate efficacy of sh | of shortening of duration of treatment (8.9%, n = 16). The studies related to extra"
36272707,Whole-genome sequencing of presumptive MDR-TB isolates from a tertiary healthcare setting in Mumbai.,93; 73; 97; 89; 63,5,63.0,97.0,83.0,"were observed in the rpoB gene (n = 93, 93%), wherein the Ser450Leu was the predomi | u was the predominant mutation (n = 68, 73%). Ser315Thr was the most common variant | hr was the most common variant (n = 86, 97%) that encoded resistance to isoniazid. | third most predominant variant (n = 65, 89%). In addition to the high levels of res | proportion of Beijing strains (n = 63, 63%). Compared with results from routine di"
36200688,Factors affecting the treatment outcome of injection based shorter MDR-TB regimen at a referral centre in India.,50.91; 49.09,2,49.09,50.91,50.0,"otal of 55 patients were enrolled, with 50.91% being successful (cured/treatment compl | cessful (cured/treatment completed) and 49.09% failing (including failure, lost to fol"
35989319,High fluoroquinolone resistance proportions among multidrug-resistant tuberculosis driven by dominant L2 Mycobacterium tuberculosis clones in the Mumbai Metropolitan Region.,36; 69.2; 4.4; 57.8; 79; 40; 90.6,7,4.4,90.6,53.857142857142854,"bal MDR tuberculosis (TB) burden. About 36% of the MDR MTBC strains are reported fl | TBC strains were MDR, out of which 703 (69.2%) were pre-XDR and 45 (4.4%) were XDR. C | which 703 (69.2%) were pre-XDR and 45 (4.4%) were XDR. Cluster rates were high amon | XDR. Cluster rates were high among MDR (57.8%) and pre-XDR/XDR (79%) strains with thr | high among MDR (57.8%) and pre-XDR/XDR (79%) strains with three dominant L2 (Beijin | 3) representing half of the pre-XDR and 40% of the XDR-TB cases. L2 strains were as | irst-line and FQ resistance rates (81.6-90.6%). Epidemic success analysis using THD s"
35760485,"Health-related quality of life of multidrug-resistant tuberculosis patients: A study of eastern Uttar Pradesh, India.",45.85,1,45.85,45.85,45.85,7 patients were included in the study & 45.85% were dissatisfied with their condition.
35435077,"Spoligotyping of Mycobacterium tuberculosis isolates from Pulmonary Tuberculosis patients from North Karnataka, India.",27,1,27.0,27.0,27.0,control programmes. India accounts for 27% TB cases worldwide. Our study was under
35044136,"Determinants, risk factors and spatial analysis of multi-drug resistant pulmonary tuberculosis in Jodhpur, India.",23; 4.7,2,4.7,23.0,13.85,"plification test) were performed. 2898 (23%) showed M. TB positive but rifampicin s | tive but rifampicin sensitive, and 590 (4.7%) showed rifampicin resistant. Independe"
34752317,Drug resistance pattern and mutation pattern in pediatric tuberculosis: Study from north India.,61.1; 15.2; 34.2; 88; 84.6,5,15.2,88.0,56.620000000000005,"ce by Hain's GenoType MTBDRplus VER 2.0.61.1% were sensitive to isoniazid and rifampi | itive to isoniazid and rifampicin while 15.2% were DR-TB (38 out of 250). Out of thes | DR TB, 13 were isoniazid monoresistant (34.2%) and 3 were rifampicin monoresistant. T | 8 band and presence of rpoB MUT 3 band (88%). 84.6% of the INH monoresistant isolat | and presence of rpoB MUT 3 band (88%). 84.6% of the INH monoresistant isolates showe"
34752313,Prevalence of depression and anxiety among drug resistant tuberculosis: A study in North India.,68; 78; 54; 66,4,54.0,78.0,66.5,e of depression in MDR-TB and XDR-TB is 68% and 78% respectively. The prevalence of | ression in MDR-TB and XDR-TB is 68% and 78% respectively. The prevalence of anxiety | pectively. The prevalence of anxiety is 54% in MDR-TB and 66% in XDR-TB respectivel | valence of anxiety is 54% in MDR-TB and 66% in XDR-TB respectively in our study. Du
34637049,Mycobacterium tuberculosis strain lineage in mixed tribal population across India and Andaman Nicobar Island.,8.6; 15.4,2,8.6,15.4,12.0,he tribal population constitutes almost 8.6% of the nation's total population. Despi | ity testing (DST) results showed almost 15.4% of clinical isolates found to be resist
34446022,"Direct detection of resistance to fluoroquinolones/SLIDs in sputum specimen by GenoType MTBDRsl v.2.0 assay A study from Eastern Uttar Pradesh, India.",20; 26.6; 57.3; 15.9; 17; 61.3; 21.3; 92.31; 100; 100,10,15.9,100.0,51.171,"for GenoType MTBDRsl v.2.0 assay. While 20% of the decontaminated specimens were in | v.2.0 assay. Of the 1178 MTBC positive, 26.6% were sensitive to both FQs and SLIDs, w | ensitive to both FQs and SLIDs, whereas 57.3% were only FQs resistant and 15.9% were | ereas 57.3% were only FQs resistant and 15.9% were resistant to both FQs and SLIDs. F | isolates by liquid culture showed that 17% were sensitive to both FQs and SLIDs, 6 | % were sensitive to both FQs and SLIDs, 61.3% were only FQs resistant and 21.3% were | LIDs, 61.3% were only FQs resistant and 21.3% were resistant to both. The specificity | . The specificity for FQs and SLIDs was 92.31% and 100% whereas sensitivity was 100% r | ficity for FQs and SLIDs was 92.31% and 100% whereas sensitivity was 100% respective | 92.31% and 100% whereas sensitivity was 100% respectively by GenoType MTBDRsl v.2.0"
34343039,Pattern of Drug Resistance in Primary Spinal Tuberculosis: A Single-Center Study From India.,50; 24; 28.6; 16.2; 20.9; 9.3,6,9.3,50.0,24.833333333333332,"Spinal tuberculosis accounts for about 50% of cases among extra pulmonary osteoart | ce in Indian subcontinent which harbors 24% of global prevalence. The aim was to st | in spinal tuberculosis was found to be 28.6%. Of these, MDR was in 16.2%, pre-XDR in | found to be 28.6%. Of these, MDR was in 16.2%, pre-XDR in 20.9%, and XDR in 9.3% pati | Of these, MDR was in 16.2%, pre-XDR in 20.9%, and XDR in 9.3% patients. | in 16.2%, pre-XDR in 20.9%, and XDR in 9.3% patients."
33632218,The epidemiologic impact and cost-effectiveness of new tuberculosis vaccines on multidrug-resistant tuberculosis in India and China.,50; 71; 72; 31; 44; 49; 21,7,21.0,72.0,48.285714285714285,"conferring 10 years of protection, with 50% efficacy. We measured vaccine cost-effe | ine reduced RR/MDR-TB incidence rate by 71% (UI: 69-72) and 72% (UI: 70-74), and th | B incidence rate by 71% (UI: 69-72) and 72% (UI: 70-74), and the PSI vaccine by 31% | 72% (UI: 70-74), and the PSI vaccine by 31% (UI: 30-32) and 44% (UI: 42-47) in Chin | the PSI vaccine by 31% (UI: 30-32) and 44% (UI: 42-47) in China and India, respect | ective at the lower HCOC threshold with 49% probability and PSI vaccines at the upp | ccines at the upper HCOC threshold with 21% probability. The P&PI vaccine was predi"
