pmid,year,title,journal,included,reason_excluded,country,region_state,study_design,setting,population,case_definition,drug_resistance_type,new_or_retreatment,specimen,diagnostic_method,start_year,end_year,n_total,n_resistant,prevalence_percent,ci_low_percent,ci_high_percent,notes,data_source,pdf_or_url
38125850,2023,Double trouble: compounding effects of COVID-19 pandemic and antimicrobial resistance on drug resistant TB epidemiology in India.,Frontiers in public health,,,,,,,,,,,,,,,,,,,,,,
38079515,2023,Low serum vitamin D in North Indian multi-drug resistant pulmonary tuberculosis patients: the role of diet and sunlight.,Annals of medicine,,,,,,,,,,,,,,,,,,,,,,
37968050,2023,Comparison of gastric lavage/sputum and stool specimens in the diagnosis of pediatric pulmonary tuberculosis- A pilot study.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
37919487,2024,Current Epidemiology of Pediatric Tuberculosis.,Indian journal of pediatrics,,,,,,,,,,,,,,,,,,,,,,
37724763,2024,The Impact of Preventive Treatment for Multidrug- and Rifampin-Resistant Tuberculosis Exceeds Trial-Based Estimates.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,,,,,,,,,,,,,,,,,,,,,
37636185,2023,Prospective study on outcome of MDR-TB using the shorter regimen during COVID-19 pandemic.,Journal of family medicine and primary care,,,,,,,,,,,,,,,,,,,,,,
37406039,2023,Maternal Colonization Versus Nosocomial Transmission as the Source of Drug-Resistant Bloodstream Infection in an Indian Neonatal Intensive Care Unit: A Prospective Cohort Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,,,,,,,,,,,,,,,,,,,,,
37234098,2023,Studying the efficacy of isolation as a control strategy and elimination of tuberculosis in India: A mathematical model.,Infectious Disease Modelling,,,,,,,,,,,,,,,,,,,,,,
37202941,2023,Optimal management of drug-resistant tuberculosis: Can India lead the way?,The Indian journal of medical research,,,,,,,,,,,,,,,,,,,,,,
36962909,2022,"Cost-effectiveness of short, oral treatment regimens for rifampicin resistant tuberculosis.",PLOS global public health,,,,,,,,,,,,,,,,,,,,,,
36740313,2023,Need to reinvigorateTuberculosis research in India - A review of studies registered under clinical trial registry of India.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
36457842,2022,"Distribution and frequency of common mutations in rpoB gene of Mycobacterium tuberculosis detected by Xpert MTB/RIF and identification of residential areas of rifampicin resistant-TB cases: A first retrospective study from Mizoram, Northeast India.",Journal of clinical tuberculosis and other mycobacterial diseases,,,,,,,,,,,,,,,,,,,,,,
36272707,2022,Whole-genome sequencing of presumptive MDR-TB isolates from a tertiary healthcare setting in Mumbai.,Journal of global antimicrobial resistance,,,,,,,,,,,,,,,,,,,,,,
36200688,2022,Factors affecting the treatment outcome of injection based shorter MDR-TB regimen at a referral centre in India.,Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,,,,,,,,,,,,,,,,,,,,,,
35989319,2022,High fluoroquinolone resistance proportions among multidrug-resistant tuberculosis driven by dominant L2 Mycobacterium tuberculosis clones in the Mumbai Metropolitan Region.,Genome medicine,,,,,,,,,,,,,,,,,,,,,,
35760644,2022,"MGIT sensitivity testing and genotyping of drug resistant Mycobacterium tuberculosis isolates from Mizoram, Northeast India.",Indian journal of medical microbiology,,,,,,,,,,,,,,,,,,,,,,
35760485,2022,"Health-related quality of life of multidrug-resistant tuberculosis patients: A study of eastern Uttar Pradesh, India.",The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
35435077,2022,"Spoligotyping of Mycobacterium tuberculosis isolates from Pulmonary Tuberculosis patients from North Karnataka, India.",Tropical doctor,,,,,,,,,,,,,,,,,,,,,,
35044136,2022,"Determinants, risk factors and spatial analysis of multi-drug resistant pulmonary tuberculosis in Jodhpur, India.",Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,,,,,,,,,,,,,,,,,,,,,,
34752317,2021,Drug resistance pattern and mutation pattern in pediatric tuberculosis: Study from north India.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
34752313,2021,Prevalence of depression and anxiety among drug resistant tuberculosis: A study in North India.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
34706203,2022,Tuberculosis Pathways to Care and Transmission of Multidrug Resistance in India.,American journal of respiratory and critical care medicine,,,,,,,,,,,,,,,,,,,,,,
34637049,2021,Mycobacterium tuberculosis strain lineage in mixed tribal population across India and Andaman Nicobar Island.,World journal of microbiology & biotechnology,,,,,,,,,,,,,,,,,,,,,,
34446022,2021,"Direct detection of resistance to fluoroquinolones/SLIDs in sputum specimen by GenoType MTBDRsl v.2.0 assay A study from Eastern Uttar Pradesh, India.",Annals of clinical microbiology and antimicrobials,,,,,,,,,,,,,,,,,,,,,,
34343039,2021,Pattern of Drug Resistance in Primary Spinal Tuberculosis: A Single-Center Study From India.,Global spine journal,,,,,,,,,,,,,,,,,,,,,,
33632218,2021,The epidemiologic impact and cost-effectiveness of new tuberculosis vaccines on multidrug-resistant tuberculosis in India and China.,BMC medicine,,,,,,,,,,,,,,,,,,,,,,
33600431,2021,"Treatment outcomes of children and adolescents receiving drug-resistant TB treatment in a routine TB programme, Mumbai, India.",PloS one,,,,,,,,,,,,,,,,,,,,,,
33565479,2020,"Adverse drug reactions and risk factors for discontinuation of multidrug-resistant tuberculosis regimens in Gujarat, western India.",The National medical journal of India,,,,,,,,,,,,,,,,,,,,,,
33308655,2020,Genital tb-diagnostic algorithm and treatment.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
33307889,2021,Evolutionary journey of programmatic services and treatment outcomes among drug resistant tuberculosis (DR-TB) patients under National TB Elimination Programme in India (2005-2020).,Expert review of respiratory medicine,,,,,,,,,,,,,,,,,,,,,,
33184081,2020,"Protocol for a case-control study of vitamin D status, adult multidrug-resistant tuberculosis disease and tuberculosis infection in Mumbai, India.",BMJ open,,,,,,,,,,,,,,,,,,,,,,
33110429,2020,"Spoligotype Diversity of Mycobacterium tuberculosis over Two Decades from Tiruvallur, South India.",International journal of microbiology,,,,,,,,,,,,,,,,,,,,,,
33077051,2020,"A comparison of patient treatment pathways among multidrug-resistant and drug-sensitive TB cases in Delhi, India: A cross-sectional study.",The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
33067551,2020,Prevalence and factors associated with multidrug-resistant tuberculosis in South India.,Scientific reports,,,,,,,,,,,,,,,,,,,,,,
33062976,2020,"Profile of HIV and multidrug-resistant tuberculosis in orphans living in orphanages in Mumbai, Maharashtra, India.",Indian journal of sexually transmitted diseases and AIDS,,,,,,,,,,,,,,,,,,,,,,
32991238,2021,Emergence of Specific gyrA Mutations Associated High-Level Fluoroquinolone-Resistant Mycobacterium tuberculosis among Multidrug-Resistant Tuberculosis Cases in North India.,"Microbial drug resistance (Larchmont, N.Y.)",,,,,,,,,,,,,,,,,,,,,,
32951482,2021,TB free India by 2025: hype or hope.,Expert review of respiratory medicine,,,,,,,,,,,,,,,,,,,,,,
32862166,2020,High degree of fluoroquinolone resistance among extrapulmonary tuberculosis patients at a tertiary care center in North India.,International journal of mycobacteriology,,,,,,,,,,,,,,,,,,,,,,
32719234,2020,"Trends & treatment outcomes of multidrug-resistant tuberculosis in Delhi, India (2009-2014): A retrospective record-based study.",The Indian journal of medical research,,,,,,,,,,,,,,,,,,,,,,
32691718,2021,An Experience with Delamanid in an XDR TB Case - Case Report.,Infectious disorders drug targets,,,,,,,,,,,,,,,,,,,,,,
32553014,2020,Impact of COVID-19 on tuberculosis services in India.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,,,,,,,,,,,,,,,,,,,,,,
32461400,2020,Genotype analysis of ofloxacin-resistant multidrug-resistant Mycobacterium tuberculosis isolates in a multicentered study from India.,The Indian journal of medical research,,,,,,,,,,,,,,,,,,,,,,
32310069,2020,"Pretreatment Out-of-Pocket Expenses for Presumptive Multidrug-Resistant Tuberculosis Patients, India, 2016-2017.",Emerging infectious diseases,,,,,,,,,,,,,,,,,,,,,,
32218585,2020,The potential deployment of a pan-tuberculosis drug regimen in India: A modelling analysis.,PloS one,,,,,,,,,,,,,,,,,,,,,,
32192619,2020,High prevalence of rifampin-resistant tuberculosis in mountainous districts of India.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
32192613,2020,Effectiveness and safety of bedaquiline under conditional access program for treatment of drug-resistant tuberculosis in India: An interim analysis.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
32130233,2020,Performance of Genotype MTBDRsl V2.0 over the Genotype MTBDRsl V1 for detection of second line drug resistance: An Indian perspective.,PloS one,,,,,,,,,,,,,,,,,,,,,,
31931549,2020,"A Review: Prevention, Treatment and Management of Tuberculosis through Combinational Approaches of Different Indian Systems of Medicine.",Drug research,,,,,,,,,,,,,,,,,,,,,,
31742141,2019,Prevalence of multidrug resistance tuberculosis in adult patients in India: A systematic review and meta-analysis.,Journal of family medicine and primary care,,,,,,,,,,,,,,,,,,,,,,
31571455,2019,"Socio-demographic Profile of MDR-TB and XDR-TB Patients Admitted in DR-TB Centre, North India.",The Journal of the Association of Physicians of India,,,,,,,,,,,,,,,,,,,,,,
31441763,2019,Limited Scope of Shorter Drug Regimen for MDR TB Caused by High Resistance to Fluoroquinolone.,Emerging infectious diseases,,,,,,,,,,,,,,,,,,,,,,
31439176,2019,"Epidemiological and behavioural correlates of drug-resistant tuberculosis in a Tertiary Care Centre, Delhi, India.",The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
31408508,2019,Development and evaluation of novel bio-safe filter paper-based kits for sputum microscopy and transport to directly detect Mycobacterium tuberculosis and associated drug resistance.,PloS one,,,,,,,,,,,,,,,,,,,,,,
31151497,2019,Second-line injectable induced ototoxicity in drug resistant tuberculosis: A systematic review of Indian studies.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
31151492,2019,Isoniazid mono-resistant tuberculosis: Time to take it seriously.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
31114100,2019,"A Survey of Medical Professionals in an Apex Tertiary Care Hospital to Assess Awareness, Interest, Practices, and Knowledge in Palliative Care: A Descriptive Cross-sectional Study.",Indian journal of palliative care,,,,,,,,,,,,,,,,,,,,,,
30864767,2018,Genetic Characterization of Second-Line Drug-Resistant and Extensively Drug-Resistant Mycobacterium tuberculosis from the Northern Region of India.,Journal of epidemiology and global health,,,,,,,,,,,,,,,,,,,,,,
30821646,2019,Genotypic diversity of Mycobacterium tuberculosis isolates from North-Central Indian population.,Pathogens and global health,,,,,,,,,,,,,,,,,,,,,,
30797290,2019,Catastrophic costs of treating drug resistant TB patients in a tertiary care hospital in India.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
30675322,2018,Rapid detection of multidrug resistant tuberculosis in respiratory specimens at a tertiary care centre in south coastal Karnataka using Genotype MTBDR plus assay.,Iranian journal of microbiology,,,,,,,,,,,,,,,,,,,,,,
30668857,2019,Genetic diversity of Mycobacterium tuberculosis Central Asian Strain isolates from Nepal and comparison with neighboring countries.,Transactions of the Royal Society of Tropical Medicine and Hygiene,,,,,,,,,,,,,,,,,,,,,,
30611735,2019,"Spoligotyping, phenotypic and genotypic characterization of katG, rpoB gene of M. tuberculosis isolates from Sahariya tribe of Madhya Pradesh India.",Journal of infection and public health,,,,,,,,,,,,,,,,,,,,,,
30522617,2018,"Delineating the factors associated with recurrence of tuberculosis in programmatic settings of rural health block, Himachal Pradesh, India.",The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
30531028,2018,Profile of drug-resistant-conferring mutations among new and previously treated pulmonary tuberculosis cases from Aligarh region of Northern India.,International journal of mycobacteriology,,,,,,,,,,,,,,,,,,,,,,
30382835,2018,"A public health approach to palliative care in the response to drug resistant TB: an ethnographic study in Bengaluru, India.",BMC palliative care,,,,,,,,,,,,,,,,,,,,,,
30319946,2018,Evaluation of treatment outcome and adverse drug reaction of directly observed treatment (DOT) plus regimen in multidrug-resistant tuberculosis (MDR-TB) patients at district tuberculosis centre Rajkot.,Perspectives in clinical research,,,,,,,,,,,,,,,,,,,,,,
30248414,2018,Whole-genome sequencing reveals genetic signature of bedaquiline resistance in a clinical isolate of Mycobacterium tuberculosis.,Journal of global antimicrobial resistance,,,,,,,,,,,,,,,,,,,,,,
30137546,2018,"Delay before drug susceptibility testing among patients with presumptive multidrug-resistant tuberculosis in Gujarat, India.",Transactions of the Royal Society of Tropical Medicine and Hygiene,,,,,,,,,,,,,,,,,,,,,,
30112315,2018,"Epidemiological profile of multidrug-resistant tuberculosis patients in Gorakhpur Division, Uttar Pradesh, India.",Journal of family medicine and primary care,,,,,,,,,,,,,,,,,,,,,,
29933863,2018,Active case finding of rifampicin sensitive and resistant TB among household contacts of drug resistant TB patients in Andhra Pradesh and Telangana states of India - A systematic screening intervention.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
29933862,2018,Cost effectiveness of decentralised care model for managing MDR-TB in India.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
29933860,2018,"Management practices of tuberculosis in children among pediatric practitioners in Mangalore, South India.",The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
29628698,2018,Drug resistant Skeletal Tuberculosis in a tertiary care centre in South India.,Journal of clinical orthopaedics and trauma,,,,,,,,,,,,,,,,,,,,,,
29604431,2018,Prevalence of mutations in genes associated with isoniazid resistance in Mycobacterium tuberculosis isolates from re-treated smear-positive pulmonary tuberculosis patients: A meta-analysis.,Journal of global antimicrobial resistance,,,,,,,,,,,,,,,,,,,,,,
29596221,2018,"Increasing Prevalence of Pediatric Drug-resistant Tuberculosis in Mumbai, India, and Its Outcome.",The Pediatric infectious disease journal,,,,,,,,,,,,,,,,,,,,,,
29460737,2018,"Use of Verbal Autopsy to Determine Underlying Cause of Death during Treatment of Multidrug-Resistant Tuberculosis, India.",Emerging infectious diseases,,,,,,,,,,,,,,,,,,,,,,
29406800,2018,Rapid molecular diagnostics for multi-drug resistant tuberculosis in India.,Expert review of anti-infective therapy,,,,,,,,,,,,,,,,,,,,,,
29374822,2018,"Analysis of multi drug resistant tuberculosis (MDR-TB) financial protection policy: MDR-TB health insurance schemes, in Chhattisgarh state, India.",Health economics review,,,,,,,,,,,,,,,,,,,,,,
28887289,2018,Baseline resistance and cross-resistance among fluoroquinolones in multidrug-resistant Mycobacterium tuberculosis isolates at a national reference laboratory in India.,Journal of global antimicrobial resistance,,,,,,,,,,,,,,,,,,,,,,
