pmid,title,mention_index,percent,percent_str,n,fraction_num,fraction_den,ci_level,ci_low,ci_high,context_snippet
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",11,95.0,95,,,,95.0,82.4,90.8,"er cent (95% CI: 80.5-89.8), and NPV 90 per cent (95% CI: 85.7-93.4) using pDST as reference. Truenat®"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",12,88.8,88.8,,,,,,,"Detect™ demonstrated higher sensitivity (93.4 vs. 88.8%), specificity (98.2 vs. 93.9%), PPV (96.1 vs. 86."
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",13,93.9,93.9,,,,,,,"nsitivity (93.4 vs. 88.8%), specificity (98.2 vs. 93.9%), PPV (96.1 vs. 86.8%) and NPV (97 vs. 94.9%) for"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",14,86.8,86.8,,,,,,,".8%), specificity (98.2 vs. 93.9%), PPV (96.1 vs. 86.8%) and NPV (97 vs. 94.9%) for RIF resistance detect"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",15,94.9,94.9,,,,,,,"vs. 93.9%), PPV (96.1 vs. 86.8%) and NPV (97 vs. 94.9%) for RIF resistance detection over Truenat®. Inte"
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",0,12.0,12,,,,,,,"tion variables, with a non-inferiority margin of -12%. This trial is registered with ClinicalTrials.gov"
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",1,31.0,31,,,,,,,"28, 2023, 1030 individuals were screened and 324 (31%) were randomly assigned (219 to the BDLC group an"
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",2,46.0,46,,,,,,,he BDLC group and 105 to the control group). 114 (46%) participants were female and 133 (54%) were male
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",3,54.0,54,,,,,,,oup). 114 (46%) participants were female and 133 (54%) were male. Median age was 30·5 years (IQR 21·6-4
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",4,64.0,64,,,,,,,. Median age was 30·5 years (IQR 21·6-43·0). 157 (64%) participants had extensive disease at baseline.
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",5,29.0,29,,,,,,,"nsive disease at baseline. In the BDLC group, 47 (29%) of 163 were assigned to receive the 6-month regi"
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",6,71.0,71,,,,,,,assigned to receive the 6-month regimen and 116 (71%) the 9-month regimen. The core regimen of BDLC pl
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",7,91.0,91,,,,,,,DLC plus one or more other drugs was used for 76 (91%) of 84 participants in the control group. At week
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",8,87.0,87,,,,,,,"t week 73, favourable outcome was reached by 141 (87%) participants in the BDLC group versus 75 (89%) i"
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",9,89.0,89,,,,,,,1 (87%) participants in the BDLC group versus 75 (89%) in the control group in the mITT population (adj
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",10,2.0,2,,,,,,,n the mITT population (adjusted risk difference 0·2% [95% CI -9·1 to 9·5]; p The shortened BDLC strate
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",11,95.0,95,,,,,,,e mITT population (adjusted risk difference 0·2% [95% CI -9·1 to 9·5]; p The shortened BDLC strategy wa
40672039,Prognostic Value of Time-to-Positivity and Cycle Threshold (CT) Values in Predicting Tuberculosis Outcomes and Multidrug Resistance in Northern India: A Study Using Liquid Culture and Molecular Diagnostics.,0,52.8,52.8,,38.0,72.0,,,,biological outcomes. MGIT culture was positive in 52.8% (38/72) of patients (mean TTP: 26.5 days). In com
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",0,6.7,6.7,,,,,,,"and sub-lineage of lineage 1, 2, 3 and 4 were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respec"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",1,32.4,32.4,,,,,,,"age of lineage 1, 2, 3 and 4 were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respectively. Out o"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",2,42.2,42.2,,,,,,,"e 1, 2, 3 and 4 were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respectively. Out of total 194 c"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",3,14.4,14.4,,,,,,,"were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respectively. Out of total 194 culture isolates"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",4,81.5,81.5,,,,,,,"d in either single or in combinations: rpoB (146, 81.5 %), katG (138, 77 %), pncA (62, 34.6), gyrA (121, 6"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",5,77.0,77,,,,,,,"r in combinations: rpoB (146, 81.5 %), katG (138, 77 %), pncA (62, 34.6), gyrA (121, 67.5 %), embB (106,"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",6,67.5,67.5,,,,,,,"%), katG (138, 77 %), pncA (62, 34.6), gyrA (121, 67.5 %), embB (106, 59.2 %), rpsL (86,48 %) followed by"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",7,59.2,59.2,,,,,,,", pncA (62, 34.6), gyrA (121, 67.5 %), embB (106, 59.2 %), rpsL (86,48 %) followed by fabG1 (31, 17.3 %),"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",8,48.0,48,,,,,,,"gyrA (121, 67.5 %), embB (106, 59.2 %), rpsL (86,48 %) followed by fabG1 (31, 17.3 %), embA (18,10 %),"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",9,17.3,17.3,,,,,,,"6, 59.2 %), rpsL (86,48 %) followed by fabG1 (31, 17.3 %), embA (18,10 %), gid (6,3.3 %), inhA (4), eis (4"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",10,10.0,10,,,,,,,"86,48 %) followed by fabG1 (31, 17.3 %), embA (18,10 %), gid (6,3.3 %), inhA (4), eis (4,2.2 %), rrs (17"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",11,3.3,3.3,,,,,,,"wed by fabG1 (31, 17.3 %), embA (18,10 %), gid (6,3.3 %), inhA (4), eis (4,2.2 %), rrs (17, 9.4 %). Linea"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",12,2.2,2.2,,,,,,,", embA (18,10 %), gid (6,3.3 %), inhA (4), eis (4,2.2 %), rrs (17, 9.4 %). Lineage 2 was found to be most"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",13,9.4,9.4,,,,,,,"gid (6,3.3 %), inhA (4), eis (4,2.2 %), rrs (17, 9.4 %). Lineage 2 was found to be most mutated MTB stra"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",14,92.0,92,,,,,,,"oB, katG, gyrA, embB, and pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",15,82.5,82.5,,,,,,,"tG, gyrA, embB, and pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This w"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",16,93.6,93.6,,,,,,,", embB, and pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This was highe"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",17,68.2,68.2,,,,,,,"and pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This was higher than i"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",18,61.9,61.9,,,,,,,"e mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This was higher than in lineage 1"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",19,30.7,30.7,,,,,,,"respectively. This was higher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), linea"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",20,53.8,53.8,,,,,,,"ively. This was higher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",21,15.2,15.2,,,,,,,"his was higher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",22,38.4,38.4,,,,,,,"higher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",23,0.0,0,,,,,,,"han in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %,"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",24,69.5,69.5,,,,,,,"%, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), an"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",25,68.2,68.2,,,,,,,"%, 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro-A"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",26,46.3,46.3,,,,,,,"%, 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro-American"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",27,46.3,46.3,,,,,,,"respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro-American lineage"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",28,24.3,24.3,,,,,,,"vely), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro-American lineage 4 (74 %,"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",29,74.0,74,,,,,,,"4.3 % respectively), and Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Ba"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",30,62.9,62.9,,,,,,,"respectively), and Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on t"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",31,48.1,48.1,,,,,,,"vely), and Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on this stud"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",32,40.7,40.7,,,,,,,"nd Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on this study, linea"
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",33,26.9,26.9,,,,,,,"American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on this study, lineage 3 may"
40540654,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,0,11.9,11.9,,,,,,,"t® MTB/RIF detected M. tuberculosis in 339 cases (11.9%), significantly outperforming microscopy (183 cas"
40540654,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,1,6.4,6.4,,,,,,,"ignificantly outperforming microscopy (183 cases, 6.4%). The highest positivity rates occurred in tissue"
40540654,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,2,29.0,29,,,,,,,"rred in tissue biopsies and lymph node aspirates (29%), while genitourinary TB was least frequent. Rifa"
40540654,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,3,4.13,4.13,,,,,,,"Rifampicin resistance was identified in 14 cases (4.13%), all confirmed as multidrug-resistant TB (MDR-TB"
40540654,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,4,4.13,4.13,,,,,,,ow-resource settings. The high MDR-TB prevalence (4.13%) underscores the need for rapid molecular diagnos
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,0,47.5,47.50,,,,,,,"lagavi District, Karnataka. India. Most patients (47.50%) were aged 25-44 years. Of the 120 MDR-TB patient"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,1,67.5,67.50,,,,,,,"ere aged 25-44 years. Of the 120 MDR-TB patients, 67.50% are male and 32.5% are female. Of 120 MDR-TB pati"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,2,32.5,32.5,,,,,,,". Of the 120 MDR-TB patients, 67.50% are male and 32.5% are female. Of 120 MDR-TB patients, 7.50% are HIV"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,3,7.5,7.50,,,,,,,"ale and 32.5% are female. Of 120 MDR-TB patients, 7.50% are HIV positive. As part of the study, smoking ("
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,4,26.67,26.67,,,,,,,"are HIV positive. As part of the study, smoking (26.67%), chewing tobacco (50%), and alcohol consumption"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,5,50.0,50,,,,,,,"of the study, smoking (26.67%), chewing tobacco (50%), and alcohol consumption (33.33%) were found to"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,6,33.33,33.33,,,,,,,", chewing tobacco (50%), and alcohol consumption (33.33%) were found to be other major risk factors. 24.17"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,7,24.17,24.17,,,,,,,"3.33%) were found to be other major risk factors. 24.17% of patients had a family history of tuberculosis,"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,8,5.0,5,,,,,,,"ts had a family history of tuberculosis, of which 5% had contact with an infected person as a source o"
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,0,57.2,57.2,,,,,,,"le for further characterisation, out of which 71 (57.2 %) and 47 (37.9 %) were subjected to sequencing and"
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,1,37.9,37.9,,,,,,,"haracterisation, out of which 71 (57.2 %) and 47 (37.9 %) were subjected to sequencing and phenotypic DST,"
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,2,85.9,85.9,,,,,,,"isolates, sequencing data were available for 61 (85.9 %), where the lineage distribution and drug resista"
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,3,90.0,90,,,,,,,nce between pDST and gDST for the drugs was above 90 % except for ETH (77 %) and INH (87 %). The phyloge
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,4,77.0,77,,,,,,,gDST for the drugs was above 90 % except for ETH (77 %) and INH (87 %). The phylogenetic analysis of the
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,5,87.0,87,,,,,,,ugs was above 90 % except for ETH (77 %) and INH (87 %). The phylogenetic analysis of the lineage distri
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,0,36.0,36,,,,,,,"ed patients from December 2020-December 2022, 42 (36%) exhibited a BDQ-resistant strain. Median (IQR) a"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,1,54.0,54,,,,,,,". Median (IQR) age was 24 (22-32) years, with 63 (54%) females and 94% with pulmonary TB. Patients with"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,2,94.0,94,,,,,,,"e was 24 (22-32) years, with 63 (54%) females and 94% with pulmonary TB. Patients with a BDQ-resistant"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,3,95.0,95,,,,,,,"kely to have lung cavities (risk ratio [RR]: 1.8; 95%-CI: 1.1-3.1; P = .02), and be resistant to clofaz"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,4,95.0,95,,,,,,,"= .02), and be resistant to clofazimine (RR: 2.3; 95%-CI: 1.5-3.6; P = .001). Overall, 102 patients ini"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,5,95.0,95,,33.0,38.0,,,,"s compared with BDQ-susceptible patients (RR:2.1; 95%-CI: 1.5-2.8; P < .001). Overall, 87% (33/38) of p"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,6,87.0,87,,33.0,38.0,,,,"nts (RR:2.1; 95%-CI: 1.5-2.8; P < .001). Overall, 87% (33/38) of patients with BDQ-resistance experienc"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,7,40.0,40,,33.0,38.0,,,,"e experienced unfavorable treatment outcomes: 15 (40%) died, 15 (40%) had treatment failure, and 3 (8%)"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,8,40.0,40,,33.0,38.0,,,,"nfavorable treatment outcomes: 15 (40%) died, 15 (40%) had treatment failure, and 3 (8%) were lost-to-f"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,9,8.0,8,,,,,,,"40%) died, 15 (40%) had treatment failure, and 3 (8%) were lost-to-follow-up. The study highlights a c"
40053148,Prevalence and Genetic Profiling of Second-line Drug Resistant Tuberculosis at the Tertiary Care Center of Northern India.,0,28.62,28.62,,,,,,,"ally, 255 MDR/RR-TB patients were analyzed and 73(28.62%) patients exhibited second-line drug (SLD) resist"
40053148,Prevalence and Genetic Profiling of Second-line Drug Resistant Tuberculosis at the Tertiary Care Center of Northern India.,1,89.04,89.04,,,,,,,"d-line drug (SLD) resistance. Among the cases, 65(89.04%) were found to be resistant solely to fluoroquino"
40053148,Prevalence and Genetic Profiling of Second-line Drug Resistant Tuberculosis at the Tertiary Care Center of Northern India.,2,4.11,4.11,,,,,,,"istant solely to fluoroquinolones (FQ), whereas 3(4.11%) were resistant only to aminoglycosides (pre-XDR"
40053148,Prevalence and Genetic Profiling of Second-line Drug Resistant Tuberculosis at the Tertiary Care Center of Northern India.,3,6.8,6.8,,,,,,,"only to aminoglycosides (pre-XDR TB). However, 5(6.8%) patients were resistant to both FQ and aminoglyc"
40053148,Prevalence and Genetic Profiling of Second-line Drug Resistant Tuberculosis at the Tertiary Care Center of Northern India.,4,60.37,60.37,,,,,,,oglycosides (XDR-TB). We also found that males 44(60.37%) were more affected by SLD resistance than 29(39.
