Country territory or area;Years of data in the WHO mortality database;Quality;Years of data used to compute the GHE;Completeness (ages 15 and over) Minimum;Completeness (ages 15 and over) Maximum;Usability Minimum;Usability Maximum;Were data used for GHE?;Reason data or data-years were excluded;Notes
Dominican Republic;1998-2018;low;;66%;73%;51%;58%;no;Low quality;
Ecuador;1998-2021;medium;1998-2021;81%;89%;56%;77%;yes;;e
Egypt;2000-2019;low;;100%;100%;42%;54%;no;Low quality;
El Salvador;1998-2018;low;;100%;100%;54%;71%;no;Low quality;
Estonia;1998-2021;high;1998-2021;100%;100%;91%;95%;yes;;
Fiji;1999, 2001-2009, 2011-2012;low;;86%;95%;44%;69%;no;Low quality;
Finland;1998-2021;high;1998-2021;100%;100%;96%;98%;yes;;
France;1998-2021;medium;1998-2021;100%;100%;78%;82%;yes;;
Georgia;1998-2001, 2004-2007, 2009-2021;medium;1998-2001, 2004-2007, 2009-2021;95%;100%;30%;91%;yes;;
Germany;1998-2021;high;1998-2021;100%;100%;83%;86%;yes;;
Greece;1998-2021;medium;1998-2021;100%;100%;67%;80%;yes;;
Grenada;2001-2021;medium;2001-2021;87%;90%;67%;78%;yes;;
Guatemala;1998-2021;high;;100%;100%;73%;84%;no;Ad-hoc exclusion (see text);
Guyana;1998-1999, 2001-2019;medium;1998-1999, 2001-2019;90%;92%;66%;83%;yes;;
Haiti;1999, 2001-2004;very low;;12%;14%;6%;8%;no;Low quality;
Honduras;2008-2013;very low;;26%;27%;23%;25%;no;Low quality;
Hungary;1998-2021;high;1998-2021;100%;100%;91%;94%;yes;;
Iceland;1998-2021;high;1998-2021;97%;100%;88%;94%;yes;;
Iran (Islamic Republic of);2013-2017;medium;;83%;89%;70%;76%;no;Insufficient trend data;
Iraq;2008, 2015-2016;low;;90%;100%;53%;60%;no;Low quality;
Ireland;1998-2020;high;1998-2020;100%;100%;92%;94%;yes;;d
Israel;1998-2021;high;1998-2021;100%;100%;79%;83%;yes;;
Italy;1998-2020;high;1998-2020;100%;100%;85%;88%;yes;;
Jamaica;2000-2006, 2009-2014;high;;100%;100%;70%;90%;no;High HIV;
Japan;1998-2021;high;1998-2021;100%;100%;75%;87%;yes;;
Jordan;2008-2012, 2015-2018;medium;;73%;78%;58%;61%;no;Insufficient trend data;
Kazakhstan;1998-2021;high;;100%;100%;86%;90%;no;Ad-hoc exclusion (see text);
Kiribati;1998-2001;very low;;51%;52%;31%;35%;no;Low quality;
Kuwait;1998-2019;low;;51%;59%;41%;47%;no;Low quality;
Kyrgyzstan;1998-2019;high;;94%;100%;86%;97%;no;Ad-hoc exclusion (see text);
Latvia;1998-2021;high;1998-2021;100%;100%;88%;95%;yes;;
Lebanon;2019-2021;low;;85%;94%;51%;62%;no;Low quality;
Libya;2016-2017;very low;;74%;74%;38%;39%;no;Low quality;
Lithuania;1998-2021;high;1998-2021;100%;100%;94%;97%;yes;;
Luxembourg;1998-2021;high;1998-2021;100%;100%;78%;86%;yes;;
Malaysia;2000-2020;low;;66%;71%;43%;56%;no;Low quality;
Maldives;2000-2005, 2007-2008, 2010-2021;low;;83%;93%;15%;62%;no;Low quality;
Malta;1998-2021;high;1998-2021;85%;100%;77%;90%;yes;;
Mauritius;1998-2021;high;1998-2021;100%;100%;77%;90%;yes;;
Mexico;1998-2021;high;1998-2021;100%;100%;89%;94%;yes;;e
Micronesia (Federated States of);2018-2021;low;;67%;67%;50%;54%;no;Low quality;
Mongolia;2016-2021;high;;100%;100%;96%;96%;no;Insufficient trend data;
Montenegro;2000-2009, 2017, 2019;low;;96%;100%;63%;74%;no;Low quality;
Morocco;2000-2004, 2007-2016, 2020;very low;;31%;41%;13%;24%;no;Low quality;
Netherlands;1998-2021;high;1998-2021;100%;100%;82%;86%;yes;;
New Zealand;1998-2016;high;1998-2016;98%;100%;93%;95%;yes;;
Nicaragua;1998-2021;high;1998-2021;77%;100%;66%;89%;yes;;e
Norway;1998-2021;high;1998-2021;100%;100%;84%;87%;yes;;
Oman;2009-2010, 2014, 2016-2021;very low;;61%;65%;16%;32%;no;Low quality;
Panama;1998-2019, 2021;high;1998-2019, 2021;96%;100%;79%;86%;yes;;
Paraguay;1998-2021;medium;1998-2021;72%;86%;49%;75%;yes;;
Peru;1998-2020;medium;1999-2020;75%;92%;51%;83%;yes;Unusable ICD version or shortlist;
Philippines;1998-2003, 2006-2011, 2014, 2016-2019;medium;2000-2001, 2003, 2006-2011, 2014, 2016-2019;88%;95%;73%;80%;yes;Ad-hoc exclusion (see text);
Poland;1999-2021;medium;1999-2021;100%;100%;68%;83%;yes;;
Portugal;1998-2003, 2007-2019;high;1998-2003, 2007-2019;100%;100%;75%;83%;yes;;d
Puerto Rico;1998-2017, 2021;high;1999-2017, 2021;100%;100%;85%;88%;yes;Unusable ICD version or shortlist;
Qatar;2001, 2004-2017, 2019-2021;very low;;42%;52%;28%;34%;no;Low quality;
Republic of Korea;1998-2021;high;1998-2021;100%;100%;76%;85%;yes;;
Republic of Moldova;1998-2018, 2021;high;1998-2018, 2021;89%;100%;83%;98%;yes;;
Romania;1998-2019;high;1998-2019;100%;100%;81%;88%;yes;;
Russian Federation;1998-2019;medium;;; ; ;no;Fewer than five years by ICD code;;
Saint Lucia;1998-2006, 2008-2020;high;1998-2006, 2008-2020;100%;100%;65%;89%;yes;;
Saint Vincent and the Grenadines;1998-2021;high;2000-2021;100%;100%;75%;91%;yes;Unusable ICD version or shortlist;
Saudi Arabia;2009, 2012, 2021;high;;57%;100%;24%;80%;no;Insufficient trend data;
Serbia;1998-2021;medium;1998-2021;100%;100%;77%;84%;yes;;
Seychelles;2001-2017, 2019-2021;medium;;; ; ;no;Fewer than five years by ICD code;;
Singapore;1998-2021;high;1998-2021;100%;100%;93%;96%;yes;;
Slovakia;1998-2010, 2012-2014, 2016-2021;high;1998-2010, 2012-2014, 2016-2021;100%;100%;86%;93%;yes;;e
Slovenia;1998-2020;high;1998-2020;100%;100%;86%;91%;yes;;
Solomon Islands;2017-2018;low;;53%;53%;47%;48%;no;Low quality;
South Africa;1998-2018;medium;;80%;89%;52%;67%;no;High HIV;
Spain;1998-2021;high;1998-2021;100%;100%;83%;89%;yes;;
Sri Lanka;1998-2007, 2009-2015, 2019;medium;;100%;100%;59%;65%;no;Insufficient trend data;
Suriname;1998-2014;medium;;79%;90%;57%;73%;no;Ad-hoc exclusion (see text);
Sweden;1998-2021;high;1998-2021;100%;100%;85%;88%;yes;;
Switzerland;1998-2021;high;1998-2021;98%;99%;83%;86%;yes;;
Syrian Arab Republic;1998-2010;low;;81%;87%;48%;48%;no;Low quality;
Tajikistan;1998-2005, 2016-2017;low;;83%;84%;63%;63%;no;Low quality;
Thailand;1998-2000, 2002-2019;low;;82%;100%;31%;65%;no;Low quality;
The former Yugoslav Republic of Macedonia;1998-2013, 2015-2021;medium;1998-2013, 2015-2021;100%;100%;69%;84%;yes;;d, e
Trinidad and Tobago;1998-2012;low;;100%;100%;90%;92%;no;Low quality;
Tunisia;2009, 2013, 2017, 2020-2021;low;;63%;64%;41%;50%;no;Low quality;
Turkyie;1998-2002, 2004-2019;medium;;71%;100%;57%;80%;no;Insufficient trend data;
Turkmenistan;1998-2015;very low;;58%;67%;;;no;Low quality;
Ukraine;1998-2012, 2014-2015, 2017-2019;medium;;100%;100%;;55%;no;Fewer than five years by ICD code;
United Arab Emirates;2005-2010, 2018-2020;low;;80%;100%;;61%;no;Low quality;
United Kingdom;1998-2020;high;1998-2020;96%;97%;87%;90%;yes;;
United States of America;1998-2021;high;1998-2021;98%;99%;86%;89%;yes;;
Uruguay;1998-2010, 2012-2020;medium;1998-2010, 2012-2020;100%;100%;76%;80%;yes;;
Uzbekistan;1998-2005, 2009-2019;medium;;61%;81%;57%;75%;no;Ad-hoc exclusion (see text);
Venezuela (Bolivarian Republic of);1998-2016;high;;100%;100%;87%;90%;no;Ad-hoc exclusion (see text);
