COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NEW_ENROL_AVAIL,PERCENT-ALL,PERCENT-TIME_LT_5Y,PERCENT-TIME_5_15Y,PERCENT-TIME_GT_15Y,NUMERATOR-ALL,NUMERATOR-TIME_LT_5Y,NUMERATOR-TIME_5_15Y,NUMERATOR-TIME_GT_15Y,DENOMINATOR-ALL,DENOMINATOR-TIME_LT_5Y,DENOMINATOR-TIME_5_15Y,DENOMINATOR-TIME_GT_15Y,NEW_ENROL_AVAIL_2,PER_CUR_ENROL-ALL,PER_CUR_ENROL-TIME_LT_5Y,PER_CUR_ENROL-TIME_5_15Y,PER_CUR_ENROL-TIME_GT_15Y,NUM_CUR_ENROL-ALL,NUM_CUR_ENROL-TIME_LT_5Y,NUM_CUR_ENROL-TIME_5_15Y,NUM_CUR_ENROL-TIME_GT_15Y,DEN_CUR_ENROL-ALL,DEN_CUR_ENROL-TIME_LT_5Y,DEN_CUR_ENROL-TIME_5_15Y,DEN_CUR_ENROL-TIME_GT_15Y,TBL_ARV_TBT-ALL,TBL_ARV_TBT-TIME_LT_5Y,TBL_ARV_TBT-TIME_5_15Y,TBL_ARV_TBT-TIME_GT_15Y,include_in_csv_export
IND,South-East Asia,South Asia,Asia and the Pacific,India,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-27 11:51:09.513422
NA
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.
Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Last year it was reported [137465] people living with HIV on ART started TB preventive treatment. Please verify if data are available for this reporting period.

",Yes,,,,,159426,,,,,,,,No,,,,,,,,,,,,,,,,,Yes
IDN,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Indonesia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-30 09:53:13.131466
confirmed.
for the last table, only total number is available.
--------
Date: 2025-03-25 02:56:57.685327
confirmed.
for the last table, only total number is available.
--------
","Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [4557] seems to reflect an important change from the previous reporting period [2847]. Please can you explain the reason for this or revise the data accordingly.

Endang Lukitosari (MINISTRY) said on 30/05/25 at 07:53: In 2023, the recording and reporting of TPT (Tuberculosis Preventive Therapy) was still carried out using Excel spreadsheets. This process was conducted outside the existing HIV AIDS Information System (SIHA), resulting in delayed and underreporting. Since 2024, all HIV and STI-related recording, including TB-HIV, has been mandated to use SIHA version 2.1. With the implementation of this system at the beginning of 2024, documentation related to TPT has significantly improved. As a result, there is a notable discrepancy when compared to the 2023 data that had been previously reported. 

As an additional information, if we compare the 2023 figures generated from SIHA 2.1, the number of people living with HIV who were newly enrolled on antiretroviral therapy and also started tuberculosis preventive treatment was 4,106.

",Yes,9,2.3,3.2,9.1,4557,10,13,4534,50441,426,407,49608,Yes,8.9,6.5,1.8,9,20565,52,67,20446,231247,805,3660,226782,81623,,,,Yes
IRN,Eastern Mediterranean,Middle East and North Africa,Asia and the Pacific,Iran (Islamic Republic of),2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-04-01 01:43:16.036444
The change is correct. 
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.
Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [109] seems to reflect an important change from the previous reporting period [86]. The number of people currently enrolled on ART that started TB preventive treatment reported [392] seems to reflect an important change from the number reported for the previous reporting period [207]. Please can you explain the reason for this or revise the data accordingly.

Behnam Farhoudi (OTHER) said on 31/05/25 at 20:34: Yes, the changes are correct and mostly because of improved documentation and reporting.

",Yes,6.4,,,,109,,,,1690,,,,Yes,2,0,0,6.1,392,0,4,388,19404,393,12657,6354,,,,,Yes
JPN,Western Pacific,,Asia and the Pacific,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
KIR,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Kiribati,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Not specified,2024-01-01,2024-12-31,No one was newly enrolled in ART in 2024,,published,"Date: 2025-04-17 08:24:41.883981
No one of PLHIV on ART started TB preventive treatment in 2024
--------
Date: 2025-04-15 15:43:51.814086
None of PLHIV on ART started TB preventive treatment in 2024
--------
Date: 2025-04-15 15:36:30.796502
No data submitted for missing fields. Discrepancy flagged cf. indicator 7.7 (which was marked as 'not relevant').
--------
Date: 2025-04-14 14:54:26.186004
No data submitted for missing fields. Discrepancy flagged cf. indicator 7.7 (which was marked as 'not relevant').
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.",,Yes,,,,,0,,,,,,,,Yes,0,,,,0,,,,8,,,,,,,,Yes
LAO,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Lao People's Democratic Republic,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,DHIS2,2024-01-01,2024-12-31,,,published,"Date: 2025-05-23 05:11:52.166814
Data from DHIS2
--------
Date: 2025-03-29 14:24:30.521064
Data from DHIS2
--------
Date: 2025-03-29 14:20:11.718949
Data from DHIS2
--------
Date: 2025-03-29 14:16:17.943722
Data from DHIS2
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people reported to have received TPT prior to the reporting period refers to the number of people who are currently on ART and received TPT in 2023 or earlier; the same number is currently reported for this item as the number of people newly enrolled on ART in 2024, please verify.

Lattanavanh SADETTANH (MINISTRY) said on 23/05/25 at 03:11: Thanks for your comment. We verify our data against the GAM indicator definition. Please refer to the numerators and denominators guided in GAM 2025 guidelines.  Our data are correct. We have 1214 individuals who were newly enrolled in ART and started TPT in 2024 (i.e. the numerator for indicator 1). And we reported 1867 individuals who received TPT in 2024 (i.e. 1214 newly started TPT in 2024 + 653 individuals who initiated TPT in 2023 and remained on TPT in early 2024). Please note that some individuals initiated TPT in 2023 had completed TPT courses in 2023.

",Yes,55.6,30.4,34.8,56.1,1214,7,8,1199,2184,23,23,2138,Yes,14.2,16.7,7.2,14.3,1867,10,22,1835,13169,60,305,12804,1867,10,22,1835,Yes
MYS,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Malaysia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,ART registry and clinic records.,,published,"Date: 2025-03-17 09:45:58.874703
The data had been confirmed and verified by state health departments.
--------
Date: 2025-03-12 08:02:03.486151
The data had been confirmed and verified by state health departments.
--------
Date: 2025-03-10 04:24:00.009382
The data had been confirmed and verified by state health departments.
--------
Date: 2025-03-10 04:21:57.747884
yes
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,,Yes,19.9,33.3,0,19.8,636,4,0,632,3197,12,1,3184,Yes,3.4,4.7,0.8,3.4,1377,2,1,1374,40337,43,128,40166,13363,7,30,13326,Yes
MDV,South-East Asia,South Asia,Asia and the Pacific,Maldives,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,Yes,0,0,0,0,0,0,0,0,6,0,0,6,No,,,,,,,,,,,,,0,0,0,0,Yes
MHL,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Marshall Islands,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,No enrollment in ART in 2024,2024-01-01,2024-12-31,,,published,"Date: 2025-04-18 17:22:22.817234
Data not submitted for missing fields.
--------
Date: 2025-04-13 16:01:48.217876
Data not submitted for missing fields.
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.",,No,,,,,,,,,,,,,Yes,0,,,,0,,,,5,,,,,,,,Yes
FSM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Micronesia (Federated States of),-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
MNG,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Mongolia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,routine data of NCCD,2024-01-01,2024-12-31,,,published,"Date: 2025-03-25 05:11:23.574312
yes, checked
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,,Yes,4,0,0,4,1,0,0,1,25,0,0,25,Yes,0.4,0,0,0.4,1,0,0,1,251,0,0,251,1,0,0,1,Yes
MMR,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Myanmar,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,The country's data reporting format has age disaggregated data only for 0-15 years and 15+ years. Data reported here for 5-15 years covers 0-15 years data.,,published,"Date: 2025-05-29 08:15:45.142097
The country's national data report is available for age group 0-15 and 15+ years only.
--------
Date: 2025-05-29 08:14:31.876727
The country's national data report is available for age group 0-15 and 15+ years only.
--------
Date: 2025-05-23 05:11:24.237496
The country's national data report is available for age group 0-15 and 15+ years only.
--------
Date: 2025-05-07 06:30:39.105570
The country's national data report is available for age group 0-15 and 15+ years only.
--------
","Some values are missing. Please explain.
Newly enrolled on antiretroviral therapy: The numerator and denominator do not correspond to its percentage.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people currently enrolled on ART that started TB preventive treatment reported [15474] seems to reflect an important change from the number reported for the previous reporting period [24597]. Please can you explain the reason for this or revise the data accordingly.

Than Than Lwin (MINISTRY) said on 29/05/25 at 06:15: TPT provision in 2024 was less than 2023 since the reporting sites decreased in 2024 because of the operational feasibility in some areas. The operating sites also had to manage the influx of transfer-in cohort from the conflict areas and there was more workload even for ARV dispense alone especially where only one focal person have to take care multi-tasks.

We  also updated the reported data as we found out some reporting sites are duplicated.

",Yes,23.7,,3.9,24.2,5009,0,21,4988,22950,0,535,22415,Yes,6.2,,1.8,6.4,13630,0,92,13538,218222,,5197,213025,,,,,Yes
NRU,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Nauru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
NPL,South-East Asia,South Asia,Asia and the Pacific,Nepal,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-26 07:20:11.993523
Disaggregation not available
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.
Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Please verify if data are available on the number of people currently enrolled on ART who received TB preventive treatment during the reporting period.

NCASC NCASC (MINISTRY) said on 02/06/25 at 08:20: Data on 'currently enrolled on ART who received TB preventive treatment during the reporting period' is not available for reporting as there were very limited supplies of medicines for TB preventive treatment.

",Yes,0.3,,,,7,,,,2481,,,,No,,,,,,,,,,,,,85,,,,Yes
NZL,Western Pacific,,Asia and the Pacific,New Zealand,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
NIU,,,Asia and the Pacific,Niue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
PAK,Eastern Mediterranean,South Asia,Asia and the Pacific,Pakistan,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Health Facilities Data,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Please verify if data are available on the number of people newly enrolled on ART who received TB preventive treatment during the reporting period.

Kamal Afzal (MINISTRY) said on 29/05/25 at 05:10: As this indicator is not a part of our reporting tool so, health facilities are not reporting against this indicator. Noted for future compliance.

",No,,,,,,,,,,,,,Yes,13.1,35.7,19.8,12.3,6797,342,575,5880,51821,957,2909,47955,,,,,Yes
PLW,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Palau,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-04-18 16:20:37.672728
Country has not provided age- or sex-disaggregated data.
--------
Date: 2025-04-12 15:24:51.843233
Country has not provided age- or sex-disaggregated data.
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.",,Yes,0,,,,0,,,,3,,,,Yes,0,,,,0,,,,8,,,,0,,,,Yes
PNG,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Papua New Guinea,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART reported [8216] seems to reflect an important change from the previous reporting period [6095]. Please can you explain the reason for this or revise the data accordingly. Please verify if data are available on the number of people currently enrolled on ART who received TB preventive treatment during the reporting period.

Namarola Lote (WHO) said on 21/05/25 at 19:12: In 2024, the HIV program had access to an additional data source. Hence the change.

",Yes,12.7,12.8,7.3,12.8,1043,21,12,1010,8216,164,164,7888,No,,,,,,,,,,,,,,,,,Yes
PHL,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Philippines,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-23 05:55:29.421478
This is confirmed.
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [12520] seems to reflect an important change from the previous reporting period [8179]. The number of people newly enrolled on ART reported [17811] seems to reflect an important change from the previous reporting period [13013]. Please can you explain the reason for this or revise the data accordingly. Last year it was reported [11700] people living with HIV on ART started TB preventive treatment. Please verify if data are available for this reporting period.

Jayne Eunice Yang (MINISTRY) said on 02/06/25 at 06:31: Increases in newly enrolled on ART between 2023 and 2024 which proportionally led to an increase in newly enrolled taking TPT.

",Yes,70.3,0,0,70.8,12520,0,0,12520,17811,66,59,17686,No,,,,,,,,,,,,,43500,0,0,43500,Yes
KOR,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Republic of Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
WSM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Samoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SGP,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Singapore,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),NCID HIV Database,2024-01-01,2024-12-31,"This data is from NCID HIV Programme Database which only accounts for HIV diagnosed patients of age 15 and above presenting at the National Centre for Infectious Diseases (NCID) and Tan Tock Seng Hospital (TTSH) Infectious Diseases clinics, which covers about 60-70% of HIV cases in Singapore. 
The data does not cover patients seen at other healthcare institutions. 

RECRUITMENT/SCREENING CRITERIA
1. Only patients who have clinic visit to NCID/TTSH Infectious Diseases starting from 2006 onwards; 
2. HIV-positive patients 
3. At least one time outpatient clinic visit
*Note: Added the list of new foreigners cases starting from January 2017 onwards 

EXCLUSION CRITERIA 
- Only inpatient cases 
- GRT/Eye referral patients from other hospitals
- Foreigners whose first clinic visit earlier than 2017",,published,"Date: 2025-04-10 06:32:14.008631
Numerator for previous year was 0, any change this year will result in >20% change. Absolute change in number is only 1.
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,,Yes,1.1,0,0,1.1,1,0,0,1,87,0,0,87,No,,,,,,,,,,,,,,,,,Yes
SLB,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Solomon Islands,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,Program data,published,"Date: 2025-04-17 10:40:56.218457
No other disaggregation available.
--------
Date: 2025-04-08 08:36:41.565571
The value is 0! (denominator)
--------
",Some values are missing. Please explain.,,Yes,83.3,0,0,83.3,5,0,0,5,6,0,0,6,Yes,20.8,,,20.8,5,0,0,5,24,0,0,24,,,,,Yes
LKA,South-East Asia,South Asia,Asia and the Pacific,Sri Lanka,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
THA,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Thailand,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,"- Antiretroviral Patient Registers from NAP report 
- TPT-HIV report by Division of AIDS and STIs (http://tpthiv.ddc.moph.go.th/)",2023-10-01,2024-09-30,The data (numerator) in the table for newly enrolled on antiretroviral therapy is sourced from http://tpthiv.ddc.moph.go.th/ and categorized by age groups: < 15 years and 15 years and above.,,published,"Date: 2025-05-28 06:40:39.190872
There is an expedited TB screening policy for at-risk groups, focusing on three main groups: household contacts, PLHIV (People Living with HIV), and prisoners.
--------
Date: 2025-03-31 04:47:20.146105
There is an expedited TB screening policy for at-risk groups, focusing on three main groups: household contacts, PLHIV (People Living with HIV), and prisoners.
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [1374] seems to reflect an important change from the previous reporting period [640]. The number of people currently enrolled on ART that started TB preventive treatment reported [3944] seems to reflect an important change from the number reported for the previous reporting period [944]. Please can you explain the reason for this or revise the data accordingly.

naruemon tripetchsriu-rai (MINISTRY) said on 28/05/25 at 04:40: - We confirmed, the number of people newly enrolled on ART that started TB preventive treatment reported [1374] 
- The number of people currently enrolled on ART that started TB preventive treatment reported [3944] corrected to 2,934.
- There is an expedited TB screening policy for at-risk groups, focusing on three main groups: household contacts, PLHIV (People Living with HIV), and prisoners.

",Yes,6.3,0,12.2,6.3,1374,0,9,1365,21731,42,74,21615,Yes,0.6,2.4,0.8,0.6,2934,3,7,2924,453948,126,902,452920,,,,,Yes
TLS,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Timor-Leste,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
TON,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Tonga,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,"Indicator is relevant to Tonga all 4 PLHIV under the care of the Treatment Core Team are on ART with one new ART initiation but, none of the 4 PLHIV was on TB latent treatment during the reporting period.",,published,"Date: 2025-04-23 03:29:53.989334
No client on that age catergory.
--------
",Some values are missing. Please explain.,,Yes,0,,0,,0,,0,,1,,1,,Yes,0,,0,0,0,,0,0,4,,1,3,0,,0,0,Yes
TUV,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Tuvalu,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,No newly enrolled in 2024,,published,"Date: 2025-04-17 20:14:04.619202
No new ART enrolled into ART and TPT. 
--------
Date: 2025-04-10 13:05:28.441920
No new ART enrolled into TPT
--------
",Some values are missing. Please explain.,,No,,,,,,,,,,,,,Yes,0,,,0,0,0,0,0,1,0,0,1,,,,,Yes
VUT,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Vanuatu,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Tuberculosis Patient Registers,2024-01-01,2024-12-31,,,published,"Date: 2025-04-17 09:47:25.884593
There were no newly enrolled of prior ART Patient who started TPT
--------
Date: 2025-04-10 07:34:17.884156
There were no newly enrolled ART Patient who started TPT
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.",,Yes,0,,,,0,,,,3,,,,Yes,0,,,,0,,,,10,,,,0,,,,Yes
