COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NUMERATOR-TOTAL,include_in_csv_export
PNG,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Papua New Guinea,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-21 21:05:18.737092
The national program scaled up its case based reporting to cover more than 80% nationally
--------
Date: 2025-03-30 00:45:59.825384
The national program scaled up its case based reporting to cover more than 80% nationally
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: It was reported that [1307] people living with HIV with TB on ART started TB treatment in 2023, compared to [4720] for 2024. This seems to reflect an important change. The National TB Programme has reported [1409] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [4720]. The National TB Programme has also reported [1526] TB cases among people living with HIV to WHO (irrespective of whether on ART). The number of people living with HIV with TB on ART reported for this indicator [4720] should not be greater than that. Please could you discuss with your colleagues in the National TB Programme and agree on the number to report.

Namarola Lote (WHO) said on 21/05/25 at 19:04: The 1409 is the TB patients diagnosed with HIV and started ART. The 4720 is the total active PLHIV (both new and current) who were started on TB treatment. 
The difference between the 2 years is due to TB drug supply issues in 2023.

The number from HIV program will always be higher than the TB program as HIV program is treating all active patients (new and current PLHIV) while TB is only for the new cases for that year.

",4720,Yes
PHL,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Philippines,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-23 05:40:56.338838
This is confirmed
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [2717] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [11006]. The National TB Programme has also reported [2776] TB cases among people living with HIV to WHO (irrespective of whether on ART). The number of people living with HIV with TB on ART reported for this indicator [11006] should not be greater than that. We understand data reported through GAM may also include data available from the private sector. Please verify.

Jayne Eunice Yang (MINISTRY) said on 30/05/25 at 07:27: There are data discrepancies between the TB-HIV data reported by the National TB Program and the HIV Unit of the Epidemiology Bureau because of the different information systems being used. The TB Program uses the Integrated TB Information System (ITIS) which captures diagnosed TB patients, including indicators for TB-HIV. On the other hand, The HIV Unit uses the One HIV, AIDS, and STI Information System (OHASIS) which captures HIV-positive patients, including indicators on HIV patients with TB and given TB Preventive Treatment. TB-HIV data tend to be underreported.

Jayne Eunice Yang (MINISTRY) said on 02/06/25 at 06:05: Per agreement with the Philippine National AIDS Council, we deem the figures being reported in the OHASIS database to be more complete, since the cohort being requested for this indicator is on PLHIV.

",11006,Yes
KOR,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Republic of Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
WSM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Samoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SGP,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Singapore,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),NCID HIV Database,2024-01-01,2024-12-31,"This data is from NCID HIV Programme Database which only accounts for HIV diagnosed patients of age 15 and above presenting at the National Centre for Infectious Diseases (NCID) and Tan Tock Seng Hospital (TTSH) Infectious Diseases clinics, which covers about 60-70% of HIV cases in Singapore. 
The data does not cover patients seen at other healthcare institutions. 

RECRUITMENT/SCREENING CRITERIA
1. Only patients who have clinic visit to NCID/TTSH Infectious Diseases starting from 2006 onwards; 
2. HIV-positive patients 
3. At least one time outpatient clinic visit
*Note: Added the list of new foreigners cases starting from January 2017 onwards 

EXCLUSION CRITERIA 
- Only inpatient cases 
- GRT/Eye referral patients from other hospitals
- Foreigners whose first clinic visit earlier than 2017",,published,,,,9,Yes
SLB,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Solomon Islands,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Nil,2024-01-01,2024-12-31,Nil,,published,"Date: 2025-04-08 08:22:49.196232
This is the first Report
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,0,Yes
LKA,South-East Asia,South Asia,Asia and the Pacific,Sri Lanka,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-06-02 10:21:44.389026
confirmed with NPTCCD
--------
Date: 2025-06-02 10:07:06.921503
confirmed with NPTCCD
--------
Date: 2025-05-22 11:29:54.628070
confirmed
--------
Date: 2025-05-22 11:29:02.516858
confirmed
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [43] TB cases among people living with HIV on ART to WHO. Data were reported on the number of people living with HIV with TB who were on ART and had started TB treatment during the reporting period for 2023. Please kindly consult with the National TB Programme and report for the current reporting period, or provide an explanation.

Ariyaratne Manathunge (MINISTRY) said on 02/06/25 at 08:21: Clarified number with National Tuberculosis Control Programme

",68,Yes
THA,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Thailand,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2023-10-01,2024-09-30,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [4590] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [4518]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

naruemon tripetchsriu-rai (MINISTRY) said on 22/05/25 at 04:10: Due to the increasing number of reports entering the NTIP program, the data retrieved at different times may have differed. We have changed the numbers to match.

",4590,Yes
TLS,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Timor-Leste,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
TON,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Tonga,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,HIV ART Registry - MOH,2024-01-01,2024-12-31,"This Indicator is relevant to Tonga as all PLHIV are screened for TB annually however, NONE of the 4 PLHIV on ART and under the care of the Treatment Core Team was diagnose for TB during the reporting period.",,published,,,,0,Yes
TUV,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Tuvalu,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,0,Yes
VUT,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Vanuatu,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Tuberculosis Patient registers,2024-01-01,2024-12-31,,,published,,,,0,Yes
VNM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Viet Nam,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),National TB program,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [1823] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [1882]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

HOANG DUC BUI (MINISTRY) said on 28/05/25 at 09:55: We have discussed with the national TB program focal point, who provides the data reported to GAM. The figure 1,823 refers to the number of new and relapsed TB patients who received ARV treatment in 2024, while the figure 1,882 they provided to us refers to the total number of TB patients of all forms who received ARV treatment.

",1882,Yes
ATG,America,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,0,Yes
BHS,America,Latin America and the Caribbean,Caribbean,Bahamas,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
BRB,America,Latin America and the Caribbean,Caribbean,Barbados,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-11 16:42:23.655594
There was 1 TB case in 2024
--------
Date: 2025-03-11 16:23:35.480246
There was 1 TB case in 2024
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,1,Yes
BLZ,America,Latin America and the Caribbean,Caribbean,Belize,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,BHIS- NAP and TB Reporting Tool,2024-01-01,2024-12-31,,,published,"Date: 2025-03-18 23:27:01.036491
Reviewing
--------
Date: 2025-03-18 23:08:01.496400
This figure is correct
--------
Date: 2025-03-18 23:07:01.190478
This figure is correct
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,13,Yes
CUB,America,Latin America and the Caribbean,Caribbean,Cuba,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),Medisys: Registro informatizado Nacional de casos de VIH,2024-01-01,2024-12-31,,,published,"Date: 2025-05-07 13:49:21.679165
Si, los datos son correctos 
Se corrigieron los datos en el documento, son 111 casos no 1804
--------
Date: 2025-05-05 18:30:17.374076
Si, los datos son correctos 
Se corrigieron los datos en el documento, son 111 casos no 1804
--------
Date: 2025-05-05 18:24:37.053506
Si, los datos son correctos 
Se corrigieron los datos en el documento, son 111 casos no 1804
--------
Date: 2025-05-05 18:22:53.029467
Si, los datos son correctos 
Se corrigieron los datos en el documento, son 111 casos no 1804
--------
Date: 2025-03-24 23:31:43.594166
Si, los datos son correctos 
--------
",Verifique y confirme que algunos numeradores han cambiado en más de un 20% respecto al año anterior.,"Jose Joaquin Joanes fiol (MINISTRY) said on 05/05/25 at 16:30: Se corrigieron los datos en el documento, son 111 casos y no 1804, es cierto que hay un incremento de los casos, pero no a la cifra de 1804

",111,Yes
DMA,America,Latin America and the Caribbean,Caribbean,Dominica,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,"Program Data, IDC HIV Care Chart",2024-01-01,2024-12-31,,,published,,,,0,Yes
DOM,America,Latin America and the Caribbean,Caribbean,Dominican Republic,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
GRD,America,Latin America and the Caribbean,Caribbean,Grenada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
GUY,America,Latin America and the Caribbean,Caribbean,Guyana,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
HTI,America,Latin America and the Caribbean,Caribbean,Haiti,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Rapport PNLT,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Il a été rapporté que [1184] personnes vivant avec le VIH et avec tuberculose sous TAR ont commencé un traitement contre la tuberculose en 2023, contre [1388] en 2024. Cela semble refléter un changement important. Veuillez expliquer la raison de cette évolution ou consulter le Programme national de lutte contre la tuberculose, examiner les données et les réviser en conséquence.

Emmanuel Pierre (MINISTRY) said on 28/05/25 at 16:26: L'analyse des données indique que globalement:
- Couverture tests plus importante en 2024 (96%) qu'en 2023 (85%);
- Couverture traitement légèrement améliorée, 85% en 2023 contre 88% en 2024.
En effet, la stratégies de mise en réseaux des institutions et le fonctionnement des comités TB/VIH a tous les niveaux ont permis au PNLS et au PNLT de réaliser des progrès remarquables en 2024, notamment dans la sensibilisation des prestataires de soins et services et l'intensification du dépistage du VIH au niveau des centres de traitement de la TB (CDT). 
Selon la Coordination du PNLT, les départements du Sud et du Centre ont améliore l'offre de traitement en 2024 (93%). Au niveau de la plupart des sites a grand volume dans les départements (plus peuples) du Nord, de l'Artibonite et de l'Ouest, l'amélioration de l'enrôlement a favorisé une hausse de la couverture au niveau national.

",1383,Yes
JAM,America,Latin America and the Caribbean,Caribbean,Jamaica,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-02-26 19:42:25.542518
To review.
--------
Date: 2025-02-26 19:42:22.536631
To review.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,10,Yes
KNA,America,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,2024,GARPR,Yes,No,,,,,,No TB cases for the period,published,,,,,Yes
LCA,America,Latin America and the Caribbean,Caribbean,Saint Lucia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,0,Yes
VCT,America,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),Health Security Unit- OECS Report,2024-01-01,2024-12-31,,,published,"Date: 2025-04-29 19:56:51.619149
No data reported for previous year
--------
Date: 2025-04-29 19:56:49.750929
No data reported for previous year
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,3,Yes
SUR,America,Latin America and the Caribbean,Caribbean,Suriname,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
TTO,America,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,Numerator: National TB Programme,,published,"Date: 2025-04-14 22:25:43.964805
The result as reported forthe ""Number of HIV-positive newand relapse TB patients started on TB treatment during 2024 who were already on antiretroviraltherapy or started on antiretroviral therapy during TB treatment within January - December 2024 emanated from the National TB programme. The result (37) as reported represents deduplicated data (unique cases). 

It is noted that a total of 49 cases were reported for the period January - December 2023 by the National TB programme as the result for this indicator. The data reported  then also represented unique cases seen and managed by the national TB programme.  
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,37,Yes
ALB,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Albania,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,3,Yes
ARM,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Armenia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,28,Yes
AZE,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Azerbaijan,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-17 09:35:59.875389
Based on WHO guideline the prevention of TB among PLHIV is being implemented in country. 
--------
","Пожалуйста, проверьте и подтвердите, что некоторые числители изменились более, чем на 20% по сравнению с прошлым годом.",,43,Yes
BLR,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Belarus,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Отчетность Министерства здравоохранения Республики Беларусь,2024-01-01,2024-12-31,Отчетность Министерства здравоохранения Республики Беларусь,,published,,,,125,No
BIH,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
GEO,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Georgia,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"""AIDSHIS"", Health Information System, Infectious Diseases, AIDS and Clinical Immunology Research Center.",2024-01-01,2024-12-31,,,published,"Date: 2025-03-28 15:49:55.611419
updated
--------
Date: 2025-03-28 15:49:52.874770
updated
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,28,Yes
KAZ,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Kazakhstan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Информационная система ""Электронное слежение за случаями ВИЧ-инфекции""",2024-01-01,2024-12-31,,,published,,,,448,Yes
KGZ,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Kyrgyzstan,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,120,Yes
MNE,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Montenegro,2024,GARPR,No,No,,,,,,,published,,,,,Yes
MKD,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
MDA,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Republic of Moldova,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,205,Yes
RUS,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
TJK,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Tajikistan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),Данные Национальной программы. Система электронного слежения за случаями ВИЧ-инфекции.,2024-01-01,2024-12-31,,,published,"Date: 2025-03-19 18:06:54.500489
Подтверждается.
--------
","Пожалуйста, проверьте и подтвердите, что некоторые числители изменились более, чем на 20% по сравнению с прошлым годом.",,98,Yes
TKM,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
